graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
2d-2e20.sym,serial_half,1,16,2806989831,0.050751996, 0.400095000,0,0.000000000,0.000000000,0.000000000,0.000000000
2d-2e20.sym,serial_half,1,16,2806989831,0.016368316, 0.402756543,0,0.000000000,0.000000000,0.000000000,0.000000000
2d-2e20.sym,serial_half,1,16,2806989831,0.016311173, 0.408256056,0,0.000000000,0.000000000,0.000000000,0.000000000
2d-2e20.sym,serial_half,1,16,2806989831,0.019290372, 0.381055194,0,0.000000000,0.000000000,0.000000000,0.000000000
2d-2e20.sym,serial_half,1,16,2806989831,0.016505743, 0.408357662,0,0.000000000,0.000000000,0.000000000,0.000000000
2d-2e20.sym,serial_half,1,16,2806989831,0.016595719, 0.405900158,0,0.000000000,0.000000000,0.000000000,0.000000000
2d-2e20.sym,serial_half,1,16,2806989831,0.016153466, 0.407536048,0,0.000000000,0.000000000,0.000000000,0.000000000
2d-2e20.sym,serial_half,1,16,2806989831,0.016473214, 0.388356127,0,0.000000000,0.000000000,0.000000000,0.000000000
2d-2e20.sym,serial_half,1,16,2806989831,0.016946676, 0.382654934,0,0.000000000,0.000000000,0.000000000,0.000000000
2d-2e20.sym,omp_half,1,12,2806989831,0.015900044, 0.476602468,12,0.098859119,0.296161922,0.072542090,0.000000000
2d-2e20.sym,omp_half,1,12,2806989831,0.016739801, 0.471885540,12,0.099044983,0.292565862,0.071190474,0.000000000
2d-2e20.sym,omp_half,1,12,2806989831,0.016099698, 0.482257142,12,0.100151632,0.300722357,0.072088061,0.000000000
2d-2e20.sym,omp_half,1,12,2806989831,0.016419254, 0.472138843,12,0.098825488,0.292547355,0.071223014,0.000000000
2d-2e20.sym,omp_half,1,12,2806989831,0.016063604, 0.471246185,12,0.097513679,0.292596855,0.072094005,0.000000000
2d-2e20.sym,omp_half,1,12,2806989831,0.016153131, 0.470764303,12,0.099269332,0.290597908,0.071610602,0.000000000
2d-2e20.sym,omp_half,1,12,2806989831,0.016341673, 0.470702170,12,0.098810939,0.291463143,0.071274331,0.000000000
2d-2e20.sym,omp_half,1,12,2806989831,0.016504468, 0.469101155,12,0.099138941,0.289966065,0.070775174,0.000000000
2d-2e20.sym,omp_half,1,12,2806989831,0.016523168, 0.469113550,12,0.098638956,0.290870104,0.070156508,0.000000000
2d-2e20.sym,omp_intermediate,1,12,2806989831,0.016300751, 0.448077687,12,0.016947139,0.294134797,0.053524963,0.074362346
2d-2e20.sym,omp_intermediate,1,12,2806989831,0.016236899, 0.446141665,12,0.016958596,0.292865276,0.053293635,0.073845083
2d-2e20.sym,omp_intermediate,1,12,2806989831,0.016322672, 0.448985965,12,0.017307016,0.294218645,0.053983130,0.074083258
2d-2e20.sym,omp_intermediate,1,12,2806989831,0.016178619, 0.447691416,12,0.017132858,0.293973965,0.053262518,0.074065481
2d-2e20.sym,omp_intermediate,1,12,2806989831,0.016376598, 0.446412336,12,0.016599322,0.293131326,0.053179577,0.073965107
2d-2e20.sym,omp_intermediate,1,12,2806989831,0.016112231, 0.447985621,12,0.017102609,0.294238131,0.053771194,0.073580810
2d-2e20.sym,omp_intermediate,1,12,2806989831,0.015953027, 0.448616272,12,0.017087855,0.294633592,0.053712257,0.073667913
2d-2e20.sym,omp_intermediate,1,12,2806989831,0.016157616, 0.447798813,12,0.016803916,0.294446661,0.053342286,0.073945983
2d-2e20.sym,omp_intermediate,1,12,2806989831,0.016375702, 0.449102183,12,0.017111566,0.295083137,0.053266184,0.074049015
2d-2e20.sym,omp_half,1,16,2806989831,0.016080184, 0.466815805,12,0.096737336,0.290633666,0.069804175,0.000000000
2d-2e20.sym,omp_half,1,16,2806989831,0.016190954, 0.469071899,12,0.097283401,0.291626157,0.070525495,0.000000000
2d-2e20.sym,omp_half,1,16,2806989831,0.016336840, 0.467948249,12,0.096924439,0.291372815,0.070122159,0.000000000
2d-2e20.sym,omp_half,1,16,2806989831,0.016323831, 0.468567547,12,0.096765447,0.291510794,0.070733338,0.000000000
2d-2e20.sym,omp_half,1,16,2806989831,0.015903344, 0.466123392,12,0.097197550,0.289867040,0.069783787,0.000000000
2d-2e20.sym,omp_half,1,16,2806989831,0.016076721, 0.466572063,12,0.096437696,0.290784595,0.069917125,0.000000000
2d-2e20.sym,omp_half,1,16,2806989831,0.016192311, 0.467574236,12,0.097038528,0.291577254,0.069529823,0.000000000
2d-2e20.sym,omp_half,1,16,2806989831,0.016446733, 0.468586774,12,0.096902117,0.291924212,0.070034153,0.000000000
2d-2e20.sym,omp_half,1,16,2806989831,0.015724582, 0.467559415,12,0.096648083,0.291241716,0.070199893,0.000000000
2d-2e20.sym,omp_intermediate,1,16,2806989831,0.016129089, 0.455598954,12,0.017462397,0.299946154,0.054602623,0.074272427
2d-2e20.sym,omp_intermediate,1,16,2806989831,0.016148061, 0.447983723,12,0.016451508,0.293019030,0.054683439,0.073603099
2d-2e20.sym,omp_intermediate,1,16,2806989831,0.016209484, 0.447238675,12,0.016964176,0.293935736,0.053402788,0.073496777
2d-2e20.sym,omp_intermediate,1,16,2806989831,0.016608642, 0.447942588,12,0.017193706,0.294999540,0.052657980,0.073717142
2d-2e20.sym,omp_intermediate,1,16,2806989831,0.016229472, 0.448645115,12,0.017028749,0.294710491,0.053114223,0.073831279
2d-2e20.sym,omp_intermediate,1,16,2806989831,0.016003123, 0.448506735,12,0.016869216,0.294746748,0.053192462,0.074017009
2d-2e20.sym,omp_intermediate,1,16,2806989831,0.016560695, 0.447429901,12,0.017192570,0.294090136,0.052817842,0.073971594
2d-2e20.sym,omp_intermediate,1,16,2806989831,0.016235276, 0.449285527,12,0.017198585,0.295991253,0.052743339,0.073761971
2d-2e20.sym,omp_intermediate,1,16,2806989831,0.015952740, 0.448064879,12,0.017169336,0.294841849,0.052721449,0.074035129
2d-2e20.sym,omp_half,1,20,2806989831,0.016150379, 0.468185324,12,0.096055125,0.290605543,0.071700045,0.000000000
2d-2e20.sym,omp_half,1,20,2806989831,0.016522601, 0.469199876,12,0.096581719,0.289848362,0.072918603,0.000000000
2d-2e20.sym,omp_half,1,20,2806989831,0.016245887, 0.472717583,12,0.096315193,0.294101445,0.072971024,0.000000000
2d-2e20.sym,omp_half,1,20,2806989831,0.016057128, 0.469282475,12,0.096371590,0.291341148,0.072572755,0.000000000
2d-2e20.sym,omp_half,1,20,2806989831,0.016176426, 0.469961557,12,0.095775594,0.292219703,0.072557220,0.000000000
2d-2e20.sym,omp_half,1,20,2806989831,0.016337821, 0.470565807,12,0.096405107,0.291338165,0.073277538,0.000000000
2d-2e20.sym,omp_half,1,20,2806989831,0.015847386, 0.470234946,12,0.096581865,0.291402894,0.073064902,0.000000000
2d-2e20.sym,omp_half,1,20,2806989831,0.016908724, 0.467732557,12,0.095971217,0.290148350,0.072808135,0.000000000
2d-2e20.sym,omp_half,1,20,2806989831,0.016411018, 0.469114462,12,0.096535273,0.290505258,0.072818839,0.000000000
2d-2e20.sym,omp_intermediate,1,20,2806989831,0.015442294, 0.453530988,12,0.018074215,0.296427336,0.055710673,0.074153860
2d-2e20.sym,omp_intermediate,1,20,2806989831,0.016283176, 0.449516730,12,0.017349461,0.293810564,0.054982209,0.073883409
2d-2e20.sym,omp_intermediate,1,20,2806989831,0.016268065, 0.450463852,12,0.017827610,0.294618577,0.054764414,0.074081412
2d-2e20.sym,omp_intermediate,1,20,2806989831,0.016495786, 0.450933124,12,0.017482973,0.295925534,0.054819764,0.073256334
2d-2e20.sym,omp_intermediate,1,20,2806989831,0.016379103, 0.451784715,12,0.017787568,0.294708572,0.055368215,0.074342448
