graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
USA-road-d.NY,serial_half,1,16,262559014,0.083876452, 0.051991322,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.NY,serial_half,1,16,262559014,0.003551333, 0.049726651,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.NY,serial_half,1,16,262559014,0.004097619, 0.049701619,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.NY,serial_half,1,16,262559014,0.002937962, 0.049556615,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.NY,serial_half,1,16,262559014,0.003237885, 0.049532072,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.NY,serial_half,1,16,262559014,0.003550003, 0.049939260,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.NY,serial_half,1,16,262559014,0.002802528, 0.050058222,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.NY,serial_half,1,16,262559014,0.003205495, 0.050812079,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.NY,serial_half,1,16,262559014,0.003759426, 0.049766051,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.NY,omp_half,1,12,262559014,0.002945076, 0.069838940,10,0.017777213,0.037288063,0.012033890,0.000000000
USA-road-d.NY,omp_half,1,12,262559014,0.003313423, 0.069091886,10,0.017198016,0.037162973,0.012182888,0.000000000
USA-road-d.NY,omp_half,1,12,262559014,0.003567918, 0.069180790,10,0.017291076,0.037228138,0.012156345,0.000000000
USA-road-d.NY,omp_half,1,12,262559014,0.003637302, 0.069629060,10,0.017477867,0.037350080,0.012242801,0.000000000
USA-road-d.NY,omp_half,1,12,262559014,0.003892969, 0.068949921,10,0.017289208,0.036953665,0.012185795,0.000000000
USA-road-d.NY,omp_half,1,12,262559014,0.003611137, 0.070215832,10,0.017615805,0.037493899,0.012370281,0.000000000
USA-road-d.NY,omp_half,1,12,262559014,0.003487752, 0.069338183,10,0.017530734,0.037005047,0.012119326,0.000000000
USA-road-d.NY,omp_half,1,12,262559014,0.002948959, 0.069774679,10,0.017752378,0.037421897,0.012090275,0.000000000
USA-road-d.NY,omp_half,1,12,262559014,0.003489803, 0.069713215,10,0.017606350,0.037291967,0.012151167,0.000000000
USA-road-d.NY,omp_intermediate,1,12,262559014,0.003768108, 0.062543309,10,0.003295876,0.036250532,0.009623598,0.010732612
USA-road-d.NY,omp_intermediate,1,12,262559014,0.004169192, 0.062715866,10,0.003305048,0.036368502,0.009521472,0.010968195
USA-road-d.NY,omp_intermediate,1,12,262559014,0.003512622, 0.062472163,10,0.003278154,0.036228897,0.009421280,0.010864114
