graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
USA-road-d.USA,serial_half,1,16,60109136592,0.841544442, 5.751868687,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.USA,serial_half,1,16,60109136592,0.230074174, 5.774428114,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.USA,serial_half,1,16,60109136592,0.230507703, 5.767383046,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.USA,serial_half,1,16,60109136592,0.229489176, 5.761109563,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.USA,serial_half,1,16,60109136592,0.230263762, 5.738082736,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.USA,serial_half,1,16,60109136592,0.229092805, 5.773722849,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.USA,serial_half,1,16,60109136592,0.227123785, 5.756833540,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.USA,serial_half,1,16,60109136592,0.227312878, 5.736212981,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.USA,serial_half,1,16,60109136592,0.226439186, 5.620514298,0,0.000000000,0.000000000,0.000000000,0.000000000
USA-road-d.USA,omp_half,1,12,60109136592,0.224038546, 7.556505352,13,1.944111790,4.107069344,1.287968312,0.000000000
USA-road-d.USA,omp_half,1,12,60109136592,0.229732724, 7.534226133,13,1.943138186,4.081836824,1.285116749,0.000000000
USA-road-d.USA,omp_half,1,12,60109136592,0.229368983, 7.539559448,13,1.947444369,4.085381778,1.286002106,0.000000000
USA-road-d.USA,omp_half,1,12,60109136592,0.223700754, 7.542581711,13,1.946555816,4.090485174,1.288377798,0.000000000
USA-road-d.USA,omp_half,1,12,60109136592,0.229818276, 7.574737757,13,1.947368570,4.115563723,1.285037709,0.000000000
USA-road-d.USA,omp_half,1,12,60109136592,0.225284754, 7.536551531,13,1.946209253,4.085432262,1.285020052,0.000000000
USA-road-d.USA,omp_half,1,12,60109136592,0.225900812, 7.539756139,13,1.944455991,4.087573682,1.285845632,0.000000000
USA-road-d.USA,omp_half,1,12,60109136592,0.226143307, 7.525556460,13,1.946666750,4.076711713,1.282275198,0.000000000
USA-road-d.USA,omp_half,1,12,60109136592,0.226718757, 7.542947970,13,1.947274006,4.091213553,1.285140787,0.000000000
USA-road-d.USA,omp_intermediate,1,12,60109136592,0.227402655, 6.685850283,13,0.448727656,3.966496617,1.026711833,1.025224983
USA-road-d.USA,omp_intermediate,1,12,60109136592,0.228891633, 6.709697065,13,0.449167806,3.963474706,1.034187929,1.039474876
USA-road-d.USA,omp_intermediate,1,12,60109136592,0.259617801, 6.722355689,13,0.451659922,3.968964935,1.027716580,1.016930600
USA-road-d.USA,omp_intermediate,1,12,60109136592,0.230564989, 6.702428209,13,0.449392942,3.971456935,1.028324927,1.026940500
USA-road-d.USA,omp_intermediate,1,12,60109136592,0.227419696, 6.686809737,13,0.452408195,3.960767541,1.025888951,1.026629831
USA-road-d.USA,omp_intermediate,1,12,60109136592,0.226554905, 6.712718997,13,0.449408333,3.974770854,1.029766597,1.038324516
USA-road-d.USA,omp_intermediate,1,12,60109136592,0.225886425, 6.707128939,13,0.448577959,3.978861180,1.025424173,1.035498298
USA-road-d.USA,omp_intermediate,1,12,60109136592,0.225626726, 6.688185094,13,0.449262901,3.967317702,1.026575333,1.025392165
USA-road-d.USA,omp_intermediate,1,12,60109136592,0.226395547, 6.710072067,13,0.448945457,3.973516414,1.025318944,1.038772929
USA-road-d.USA,omp_half,1,16,60109136592,0.227549192, 7.514237282,13,1.915258574,4.103351974,1.273308407,0.000000000
USA-road-d.USA,omp_half,1,16,60109136592,0.228586355, 7.506931630,13,1.920119803,4.085753113,1.276243384,0.000000000
