graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
amazon0601,serial_half,1,16,2872748,0.034856448, 0.177872024,0,0.000000000,0.000000000,0.000000000,0.000000000
amazon0601,serial_half,1,16,2869817,0.009355087, 0.172964482,0,0.000000000,0.000000000,0.000000000,0.000000000
amazon0601,serial_half,1,16,2873893,0.009388089, 0.176184766,0,0.000000000,0.000000000,0.000000000,0.000000000
amazon0601,serial_half,1,16,2874293,0.009301676, 0.169020784,0,0.000000000,0.000000000,0.000000000,0.000000000
amazon0601,serial_half,1,16,2877529,0.009272371, 0.182450753,0,0.000000000,0.000000000,0.000000000,0.000000000
amazon0601,serial_half,1,16,2865717,0.009314980, 0.178112441,0,0.000000000,0.000000000,0.000000000,0.000000000
amazon0601,serial_half,1,16,2868865,0.008959393, 0.176359701,0,0.000000000,0.000000000,0.000000000,0.000000000
amazon0601,serial_half,1,16,2867426,0.009298412, 0.171661420,0,0.000000000,0.000000000,0.000000000,0.000000000
amazon0601,serial_half,1,16,2869738,0.008966066, 0.169502135,0,0.000000000,0.000000000,0.000000000,0.000000000
amazon0601,omp_half,1,12,2870505,0.008727912, 0.231259538,7,0.018584193,0.188759512,0.020456152,0.000000000
amazon0601,omp_half,1,12,2870435,0.008584132, 0.228940203,7,0.018277736,0.186910045,0.020260266,0.000000000
amazon0601,omp_half,1,12,2870959,0.009499441, 0.231744285,7,0.018583957,0.188532632,0.020705479,0.000000000
amazon0601,omp_half,1,12,2879401,0.009490447, 0.231564904,7,0.019054014,0.188964662,0.020100552,0.000000000
amazon0601,omp_half,1,12,2870338,0.008731101, 0.247199445,7,0.020639796,0.201964906,0.020801644,0.000000000
amazon0601,omp_half,1,12,2869749,0.009343462, 0.238331186,7,0.019973938,0.194598547,0.020225215,0.000000000
amazon0601,omp_half,1,12,2865416,0.009265599, 0.228247207,7,0.018784945,0.184849507,0.021054963,0.000000000
amazon0601,omp_half,1,12,2870497,0.009191189, 0.228629466,7,0.018223079,0.186587233,0.020048649,0.000000000
amazon0601,omp_half,1,12,2873570,0.009286628, 0.228460265,7,0.018394345,0.186339098,0.020278167,0.000000000
amazon0601,omp_intermediate,1,12,2870029,0.008875586, 0.219656542,7,0.003842092,0.185137305,0.014718175,0.012492513
amazon0601,omp_intermediate,1,12,2868730,0.009781770, 0.237224155,7,0.003627393,0.200918771,0.014839250,0.013963370
amazon0601,omp_intermediate,1,12,2868239,0.009401413, 0.231787538,7,0.003847860,0.195534232,0.015055402,0.013813552
amazon0601,omp_intermediate,1,12,2872331,0.008670281, 0.227657971,7,0.003703157,0.192818654,0.014898318,0.012561521
amazon0601,omp_intermediate,1,12,2871941,0.009546558, 0.220070053,7,0.003799547,0.185031001,0.015292731,0.012459270
amazon0601,omp_intermediate,1,12,2869438,0.009797915, 0.221375228,7,0.003569031,0.186631307,0.014891707,0.012379314
amazon0601,omp_intermediate,1,12,2867483,0.009567900, 0.222783700,7,0.003558690,0.187372718,0.014933226,0.012857642
amazon0601,omp_intermediate,1,12,2872077,0.009472724, 0.227309552,7,0.003554565,0.192030420,0.014797509,0.012803037
amazon0601,omp_intermediate,1,12,2863932,0.008797184, 0.208960794,6,0.003049148,0.175075332,0.014740236,0.012162440
amazon0601,omp_half,1,16,2872784,0.008799904, 0.233105146,7,0.018215860,0.190646363,0.020319681,0.000000000
amazon0601,omp_half,1,16,2866956,0.009405234, 0.235919434,7,0.018701885,0.193222470,0.020205254,0.000000000
amazon0601,omp_half,1,16,2873052,0.009530306, 0.244662830,7,0.020274777,0.199943963,0.020674026,0.000000000
amazon0601,omp_half,1,16,2869746,0.008917233, 0.244311045,7,0.019894618,0.200132154,0.020280353,0.000000000
amazon0601,omp_half,1,16,2866451,0.009058779, 0.227979621,7,0.018559414,0.185218272,0.020390632,0.000000000
amazon0601,omp_half,1,16,2867973,0.009471887, 0.232597907,7,0.018628060,0.190184114,0.020382220,0.000000000
amazon0601,omp_half,1,16,2874408,0.008761990, 0.228833516,7,0.018217685,0.186791622,0.020036738,0.000000000
amazon0601,omp_half,1,16,2874604,0.009364253, 0.234518207,7,0.018871431,0.191241751,0.020609127,0.000000000
amazon0601,omp_half,1,16,2872224,0.009102312, 0.217948832,6,0.017122087,0.177564289,0.019427437,0.000000000
amazon0601,omp_intermediate,1,16,2871474,0.009151471, 0.220059552,7,0.003548141,0.184738327,0.015132079,0.012877434
amazon0601,omp_intermediate,1,16,2865123,0.009273554, 0.221082357,7,0.003523147,0.186051474,0.015214504,0.012500636
amazon0601,omp_intermediate,1,16,2867862,0.008957632, 0.221079747,7,0.003714787,0.186189975,0.014920579,0.012219345
amazon0601,omp_intermediate,1,16,2859764,0.009375458, 0.221268394,7,0.003532731,0.186549235,0.014690082,0.012527117
amazon0601,omp_intermediate,1,16,2871935,0.009381954, 0.226724031,7,0.003813054,0.190437658,0.015029329,0.013611136
amazon0601,omp_intermediate,1,16,2874381,0.009094084, 0.232917864,7,0.003529973,0.196558194,0.014948688,0.013594835
amazon0601,omp_intermediate,1,16,2875810,0.009363464, 0.218995069,7,0.003526979,0.184499177,0.014884412,0.012232613
amazon0601,omp_intermediate,1,16,2868623,0.009424734, 0.222806502,7,0.003664889,0.187128035,0.015680255,0.012620553
amazon0601,omp_intermediate,1,16,2867390,0.009629632, 0.232340070,7,0.003745329,0.195855069,0.015303192,0.013911362
amazon0601,omp_half,1,20,2868211,0.009209960, 0.241878472,7,0.019981974,0.197844996,0.020651076,0.000000000
amazon0601,omp_half,1,20,2876018,0.008922985, 0.227461925,7,0.018431540,0.184645073,0.020647686,0.000000000
amazon0601,omp_half,1,20,2880680,0.009508507, 0.230662587,7,0.018198229,0.188337701,0.020395469,0.000000000
amazon0601,omp_half,1,20,2868710,0.009210055, 0.235106914,7,0.018526541,0.192253996,0.020812017,0.000000000
