graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
as-skitter,serial_half,1,16,19683488,0.141887998, 0.498181434,0,0.000000000,0.000000000,0.000000000,0.000000000
as-skitter,serial_half,1,16,19674955,0.040178563, 0.510744399,0,0.000000000,0.000000000,0.000000000,0.000000000
as-skitter,serial_half,1,16,19698341,0.040450174, 0.474349173,0,0.000000000,0.000000000,0.000000000,0.000000000
as-skitter,serial_half,1,16,19691113,0.040454018, 0.444399329,0,0.000000000,0.000000000,0.000000000,0.000000000
as-skitter,serial_half,1,16,19669847,0.040126946, 0.497899006,0,0.000000000,0.000000000,0.000000000,0.000000000
as-skitter,serial_half,1,16,19671611,0.040090917, 0.479032763,0,0.000000000,0.000000000,0.000000000,0.000000000
as-skitter,serial_half,1,16,19671245,0.041388990, 0.437526072,0,0.000000000,0.000000000,0.000000000,0.000000000
as-skitter,serial_half,1,16,19681435,0.040077276, 0.481293344,0,0.000000000,0.000000000,0.000000000,0.000000000
as-skitter,serial_half,1,16,19678588,0.040117557, 0.481259257,0,0.000000000,0.000000000,0.000000000,0.000000000
as-skitter,omp_half,1,12,19671755,0.040401483, 0.631937489,6,0.047395764,0.507968392,0.060294243,0.000000000
as-skitter,omp_half,1,12,19681899,0.039138371, 0.629482830,6,0.046491451,0.506589093,0.059939411,0.000000000
as-skitter,omp_half,1,12,19697433,0.040064235, 0.630556078,6,0.047689417,0.505860271,0.060463521,0.000000000
as-skitter,omp_half,1,12,19680937,0.039024993, 0.629734494,6,0.047684662,0.504709151,0.060466730,0.000000000
as-skitter,omp_half,1,12,19678709,0.041691158, 0.690514619,6,0.051159452,0.561854347,0.060901539,0.000000000
as-skitter,omp_half,1,12,19661194,0.040246193, 0.631864571,6,0.046981750,0.507828563,0.060177858,0.000000000
as-skitter,omp_half,1,12,19691726,0.041038640, 0.671464104,6,0.055699365,0.537998323,0.060895620,0.000000000
as-skitter,omp_half,1,12,19697039,0.040319730, 0.636852703,6,0.047823738,0.511600216,0.060133609,0.000000000
as-skitter,omp_half,1,12,19691469,0.040641493, 0.638131713,6,0.048036803,0.511801477,0.060176735,0.000000000
