graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
cit-Patents,serial_half,1,16,44506046,0.221745780, 2.741185727,0,0.000000000,0.000000000,0.000000000,0.000000000
cit-Patents,serial_half,1,16,44483499,0.061475648, 2.987811899,0,0.000000000,0.000000000,0.000000000,0.000000000
cit-Patents,serial_half,1,16,44485922,0.062701347, 2.732298765,0,0.000000000,0.000000000,0.000000000,0.000000000
cit-Patents,serial_half,1,16,44486710,0.061800350, 2.963796782,0,0.000000000,0.000000000,0.000000000,0.000000000
cit-Patents,serial_half,1,16,44481763,0.061858480, 2.705751348,0,0.000000000,0.000000000,0.000000000,0.000000000
cit-Patents,serial_half,1,16,44488808,0.060330041, 2.654904409,0,0.000000000,0.000000000,0.000000000,0.000000000
cit-Patents,serial_half,1,16,44497179,0.062803279, 2.892881585,0,0.000000000,0.000000000,0.000000000,0.000000000
cit-Patents,serial_half,1,16,44518235,0.060926157, 2.702041227,0,0.000000000,0.000000000,0.000000000,0.000000000
cit-Patents,serial_half,1,16,44492882,0.062267178, 2.933254564,0,0.000000000,0.000000000,0.000000000,0.000000000
cit-Patents,omp_half,1,12,44473654,0.062142871, 3.208597605,7,0.206394128,2.700270165,0.265832507,0.000000000
cit-Patents,omp_half,1,12,44480977,0.061504514, 3.247100025,7,0.204946944,2.727770361,0.278548399,0.000000000
cit-Patents,omp_half,1,12,44459738,0.060839079, 3.531542603,8,0.232326776,2.994088232,0.270289567,0.000000000
cit-Patents,omp_half,1,12,44511192,0.061954232, 3.161112301,7,0.206142053,2.653027642,0.265696237,0.000000000
cit-Patents,omp_half,1,12,44477615,0.062556161, 3.229471883,7,0.210607526,2.716838298,0.266145736,0.000000000
cit-Patents,omp_half,1,12,44522990,0.061063151, 3.225736989,7,0.205167539,2.718320912,0.266876198,0.000000000
cit-Patents,omp_half,1,12,44479136,0.062309408, 3.163355528,7,0.205234537,2.654787176,0.268111618,0.000000000
cit-Patents,omp_half,1,12,44487354,0.061783811, 3.542973052,8,0.228194212,3.008351663,0.270590791,0.000000000
cit-Patents,omp_half,1,12,44482085,0.061801930, 3.535576144,8,0.233691714,2.995770234,0.270312473,0.000000000
cit-Patents,omp_intermediate,1,12,44530100,0.061956646, 3.386301525,8,0.044863814,2.957045638,0.197547547,0.150855242
