graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
citationCiteseer,serial_half,1,16,3272182,0.018381381, 0.090770768,0,0.000000000,0.000000000,0.000000000,0.000000000
citationCiteseer,serial_half,1,16,3264566,0.005629157, 0.090800473,0,0.000000000,0.000000000,0.000000000,0.000000000
citationCiteseer,serial_half,1,16,3268286,0.005019448, 0.101527314,0,0.000000000,0.000000000,0.000000000,0.000000000
citationCiteseer,serial_half,1,16,3253669,0.005089053, 0.099852369,0,0.000000000,0.000000000,0.000000000,0.000000000
citationCiteseer,serial_half,1,16,3266590,0.005321946, 0.102081193,0,0.000000000,0.000000000,0.000000000,0.000000000
citationCiteseer,serial_half,1,16,3263585,0.005247060, 0.102182571,0,0.000000000,0.000000000,0.000000000,0.000000000
citationCiteseer,serial_half,1,16,3257263,0.005287501, 0.097264843,0,0.000000000,0.000000000,0.000000000,0.000000000
citationCiteseer,serial_half,1,16,3268131,0.005207528, 0.103372596,0,0.000000000,0.000000000,0.000000000,0.000000000
citationCiteseer,serial_half,1,16,3266168,0.004610982, 0.089414555,0,0.000000000,0.000000000,0.000000000,0.000000000
citationCiteseer,omp_half,1,12,3269848,0.004832743, 0.133963469,7,0.012476845,0.107314288,0.012019347,0.000000000
citationCiteseer,omp_half,1,12,3264493,0.005430226, 0.126323909,7,0.011789437,0.100452519,0.011761475,0.000000000
citationCiteseer,omp_half,1,12,3268395,0.005200603, 0.121742016,6,0.011474376,0.096632789,0.011453065,0.000000000
citationCiteseer,omp_half,1,12,3264015,0.005014935, 0.137583273,7,0.012797660,0.110613943,0.011997596,0.000000000
citationCiteseer,omp_half,1,12,3271973,0.005110355, 0.122991608,6,0.010802166,0.098290457,0.011569363,0.000000000
citationCiteseer,omp_half,1,12,3268244,0.005048016, 0.137687240,7,0.013144158,0.110402733,0.011916013,0.000000000
citationCiteseer,omp_half,1,12,3271472,0.004967923, 0.131941269,7,0.012012888,0.105896881,0.011881616,0.000000000
citationCiteseer,omp_half,1,12,3264393,0.005334427, 0.136227276,7,0.012777089,0.108799062,0.012291381,0.000000000
