graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
coPapersDBLP,serial_half,1,16,2224654,0.192480933, 0.446687469,0,0.000000000,0.000000000,0.000000000,0.000000000
coPapersDBLP,serial_half,1,16,2222868,0.053179841, 0.429073986,0,0.000000000,0.000000000,0.000000000,0.000000000
coPapersDBLP,serial_half,1,16,2217474,0.051782728, 0.435073826,0,0.000000000,0.000000000,0.000000000,0.000000000
coPapersDBLP,serial_half,1,16,2214392,0.052775296, 0.426054259,0,0.000000000,0.000000000,0.000000000,0.000000000
coPapersDBLP,serial_half,1,16,2213766,0.051367853, 0.411757414,0,0.000000000,0.000000000,0.000000000,0.000000000
coPapersDBLP,serial_half,1,16,2217310,0.051873691, 0.411931742,0,0.000000000,0.000000000,0.000000000,0.000000000
coPapersDBLP,serial_half,1,16,2217137,0.052601297, 0.442811519,0,0.000000000,0.000000000,0.000000000,0.000000000
coPapersDBLP,serial_half,1,16,2213961,0.051255202, 0.463424964,0,0.000000000,0.000000000,0.000000000,0.000000000
coPapersDBLP,serial_half,1,16,2217933,0.051805499, 0.431270297,0,0.000000000,0.000000000,0.000000000,0.000000000
coPapersDBLP,omp_half,1,12,2219626,0.052434945, 0.611118153,6,0.020118831,0.556225893,0.029468170,0.000000000
coPapersDBLP,omp_half,1,12,2215085,0.052495907, 0.606710997,6,0.019555040,0.552493113,0.029229508,0.000000000
coPapersDBLP,omp_half,1,12,2221862,0.051051821, 0.660849656,6,0.021447072,0.604079723,0.029902114,0.000000000
coPapersDBLP,omp_half,1,12,2216521,0.053053027, 0.668203507,6,0.022340081,0.610555056,0.029469938,0.000000000
coPapersDBLP,omp_half,1,12,2217503,0.052370839, 0.633826731,6,0.020881900,0.578377381,0.029012139,0.000000000
coPapersDBLP,omp_half,1,12,2218932,0.053261491, 0.625048873,6,0.020584775,0.569677348,0.028980119,0.000000000
coPapersDBLP,omp_half,1,12,2216077,0.052670437, 0.656091039,6,0.021353984,0.599173094,0.029433810,0.000000000
coPapersDBLP,omp_half,1,12,2213615,0.056246963, 0.623462343,6,0.020785692,0.567358172,0.029711597,0.000000000
coPapersDBLP,omp_half,1,12,2210797,0.053163309, 0.601025822,6,0.020077669,0.545718231,0.029732100,0.000000000
coPapersDBLP,omp_intermediate,1,12,2212069,0.052210348, 0.672633115,6,0.004196754,0.627833718,0.022214681,0.013113900
coPapersDBLP,omp_intermediate,1,12,2213191,0.052534315, 0.668797970,6,0.004184399,0.622829606,0.021619694,0.014423647
coPapersDBLP,omp_intermediate,1,12,2212234,0.052920696, 0.663206888,6,0.004210834,0.616827808,0.022026595,0.014819743
coPapersDBLP,omp_intermediate,1,12,2218127,0.051891571, 0.599851800,6,0.004143849,0.556133472,0.021856556,0.012177955
coPapersDBLP,omp_intermediate,1,12,2216765,0.051971126, 0.612917800,6,0.004190713,0.568909848,0.021892462,0.012246094
coPapersDBLP,omp_intermediate,1,12,2219301,0.052556296, 0.616516813,6,0.004144653,0.571526503,0.022024629,0.013137911
coPapersDBLP,omp_intermediate,1,12,2218172,0.052919808, 0.636111811,6,0.004138914,0.591812157,0.021337566,0.013280431
coPapersDBLP,omp_intermediate,1,12,2216964,0.052620407, 0.660219361,6,0.004174050,0.613630564,0.022681113,0.013909730
coPapersDBLP,omp_intermediate,1,12,2217309,0.051667176, 0.627849622,6,0.004131205,0.582658062,0.021754277,0.013572411
coPapersDBLP,omp_half,1,16,2214250,0.052519222, 0.651085227,7,0.021139392,0.593774127,0.030251991,0.000000000
coPapersDBLP,omp_half,1,16,2220366,0.052714963, 0.611266706,6,0.020001617,0.556945735,0.028991136,0.000000000
coPapersDBLP,omp_half,1,16,2212578,0.052078087, 0.595154015,6,0.018966832,0.540339618,0.030022583,0.000000000
coPapersDBLP,omp_half,1,16,2221286,0.052278120, 0.638854915,6,0.020535707,0.582585621,0.029571835,0.000000000
coPapersDBLP,omp_half,1,16,2218644,0.052469534, 0.647416163,6,0.020744585,0.591367729,0.029389345,0.000000000
coPapersDBLP,omp_half,1,16,2218869,0.051666876, 0.614355160,6,0.019939901,0.559972952,0.028821243,0.000000000
coPapersDBLP,omp_half,1,16,2218442,0.051402456, 0.630869008,6,0.020328552,0.576066670,0.028844051,0.000000000
coPapersDBLP,omp_half,1,16,2220285,0.051922688, 0.600701961,6,0.019444683,0.546531556,0.029420582,0.000000000
coPapersDBLP,omp_half,1,16,2215422,0.052126775, 0.612941678,6,0.019650392,0.557964022,0.029932582,0.000000000
coPapersDBLP,omp_intermediate,1,16,2212603,0.052725808, 0.637343833,6,0.004269430,0.593195388,0.021617681,0.012989521
coPapersDBLP,omp_intermediate,1,16,2214767,0.052230467, 0.607810668,6,0.004167326,0.563822144,0.021662471,0.012386145
coPapersDBLP,omp_intermediate,1,16,2213471,0.052166547, 0.602177990,6,0.004271637,0.558874166,0.022130183,0.011509980
coPapersDBLP,omp_intermediate,1,16,2219018,0.052968347, 0.654687908,6,0.004168240,0.610144672,0.021531584,0.013384786
coPapersDBLP,omp_intermediate,1,16,2216305,0.051867183, 0.630808969,6,0.004201357,0.586571176,0.022025478,0.012418567
coPapersDBLP,omp_intermediate,1,16,2214370,0.052610238, 0.656740145,6,0.004321293,0.611677714,0.021862749,0.013606785
coPapersDBLP,omp_intermediate,1,16,2220316,0.052692738, 0.628730264,6,0.004216151,0.584766587,0.021042211,0.013116568
