graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
delaunay_n24,serial_half,1,16,167958681,1.255938211, 5.604447772,0,0.000000000,0.000000000,0.000000000,0.000000000
delaunay_n24,serial_half,1,16,167914454,0.191803318, 5.757977833,0,0.000000000,0.000000000,0.000000000,0.000000000
delaunay_n24,serial_half,1,16,167946813,0.202617533, 5.837451342,0,0.000000000,0.000000000,0.000000000,0.000000000
delaunay_n24,serial_half,1,16,167959708,0.194384037, 5.564064358,0,0.000000000,0.000000000,0.000000000,0.000000000
delaunay_n24,serial_half,1,16,168008737,0.192215366, 5.782496915,0,0.000000000,0.000000000,0.000000000,0.000000000
delaunay_n24,serial_half,1,16,168019996,0.192209230, 5.784240324,0,0.000000000,0.000000000,0.000000000,0.000000000
delaunay_n24,serial_half,1,16,167972431,0.191719040, 5.847853578,0,0.000000000,0.000000000,0.000000000,0.000000000
delaunay_n24,serial_half,1,16,167981100,0.193432135, 5.865699728,0,0.000000000,0.000000000,0.000000000,0.000000000
delaunay_n24,serial_half,1,16,167972145,0.192455257, 5.835261527,0,0.000000000,0.000000000,0.000000000,0.000000000
delaunay_n24,omp_half,1,12,167964634,0.193069941, 7.744916684,12,1.223220371,5.435509827,0.937326990,0.000000000
delaunay_n24,omp_half,1,12,167879367,0.190614793, 7.755703528,12,1.228147870,5.432501766,0.945008818,0.000000000
delaunay_n24,omp_half,1,12,167962589,0.191257863, 7.703838256,12,1.188457508,5.421858867,0.944392310,0.000000000
delaunay_n24,omp_half,1,12,167920983,0.196919603, 7.736100539,12,1.218425184,5.428612080,0.935445317,0.000000000
delaunay_n24,omp_half,1,12,167988389,0.191025336, 7.400070476,11,1.140243962,5.197204538,0.913151282,0.000000000
delaunay_n24,omp_half,1,12,167943582,0.193299767, 7.742733793,12,1.225908946,5.422489555,0.941006411,0.000000000
delaunay_n24,omp_half,1,12,168042389,0.193830291, 7.732304176,12,1.213632849,5.431751619,0.935592858,0.000000000
delaunay_n24,omp_half,1,12,168043164,0.197119584, 7.404833741,11,1.154583593,5.177828338,0.919310068,0.000000000
delaunay_n24,omp_half,1,12,167944387,0.192934752, 7.739269123,12,1.204342981,5.441067361,0.939524984,0.000000000
delaunay_n24,omp_intermediate,1,12,167957936,0.192316594, 7.111160038,12,0.291610904,5.298111189,0.731080190,0.640506300
delaunay_n24,omp_intermediate,1,12,167994872,0.198640951, 7.144896821,12,0.290159313,5.317465695,0.743049065,0.641219021
delaunay_n24,omp_intermediate,1,12,167961204,0.194134452, 7.120330121,12,0.290650963,5.301411933,0.732730022,0.642451335
delaunay_n24,omp_intermediate,1,12,167957349,0.191973842, 7.134680145,12,0.289847041,5.317402124,0.734795055,0.639721157
delaunay_n24,omp_intermediate,1,12,168016454,0.194074286, 7.123588390,12,0.292457487,5.309437634,0.732426109,0.637668131
delaunay_n24,omp_intermediate,1,12,167928656,0.189498897, 7.106390969,12,0.291186526,5.311788714,0.736915375,0.616577835
delaunay_n24,omp_intermediate,1,12,167907442,0.198233824, 7.138289756,12,0.289780481,5.313644871,0.734674931,0.646988190
delaunay_n24,omp_intermediate,1,12,167970518,0.192323752, 7.144975414,12,0.292267062,5.322232936,0.732895870,0.643835288
delaunay_n24,omp_intermediate,1,12,167993446,0.198832157, 7.106807584,12,0.289005411,5.306860967,0.732414729,0.627553758
delaunay_n24,omp_half,1,16,167874836,0.191720895, 7.681969750,12,1.170457570,5.424580046,0.935817532,0.000000000
delaunay_n24,omp_half,1,16,167901459,0.198129892, 7.689163979,12,1.187182080,5.418732172,0.930069105,0.000000000
delaunay_n24,omp_half,1,16,167943482,0.194061853, 7.715167591,12,1.206172164,5.427655435,0.928452092,0.000000000
delaunay_n24,omp_half,1,16,167955451,0.193261662, 7.691014861,12,1.185497622,5.424210416,0.930297257,0.000000000
delaunay_n24,omp_half,1,16,167990959,0.191969375, 7.724876261,12,1.209621960,5.434917385,0.929666270,0.000000000
delaunay_n24,omp_half,1,16,168007325,0.192279622, 7.686036889,12,1.178366519,5.429700285,0.928997292,0.000000000
delaunay_n24,omp_half,1,16,167938474,0.192057616, 7.727960223,12,1.204786820,5.441987837,0.928844954,0.000000000
delaunay_n24,omp_half,1,16,168031141,0.192881300, 7.719392243,12,1.229753709,5.405417511,0.931338584,0.000000000
delaunay_n24,omp_half,1,16,168004476,0.192266644, 7.708490141,12,1.199623720,5.432749323,0.926960301,0.000000000
delaunay_n24,omp_intermediate,1,16,167933436,0.216057856, 7.131682330,12,0.291213882,5.302070031,0.728497661,0.635494043
delaunay_n24,omp_intermediate,1,16,167919621,0.192945208, 6.812104155,11,0.265903363,5.074132070,0.707166357,0.613968723
delaunay_n24,omp_intermediate,1,16,167940984,0.213110831, 7.162782860,12,0.291216288,5.319358587,0.728444293,0.647599431
delaunay_n24,omp_intermediate,1,16,167971208,0.192993645, 7.081451160,12,0.289897308,5.290413627,0.726275061,0.623339141
delaunay_n24,omp_intermediate,1,16,167962842,0.214677903, 7.144748836,12,0.289762956,5.308982541,0.728865241,0.639425891
delaunay_n24,omp_intermediate,1,16,167936690,0.193179618, 7.100963671,12,0.291159392,5.299398928,0.726517971,0.631143909
delaunay_n24,omp_intermediate,1,16,167967904,0.193235098, 7.123728415,12,0.289127281,5.308334322,0.728700915,0.639677982
delaunay_n24,omp_intermediate,1,16,167966337,0.193557657, 7.110889562,12,0.289718059,5.304114599,0.728410460,0.637924697
delaunay_n24,omp_intermediate,1,16,167955786,0.194449428, 6.821186724,11,0.267496069,5.083100183,0.708965470,0.607886360
delaunay_n24,omp_half,1,20,167919204,0.192397021, 7.770264466,12,1.208939656,5.440408674,0.968089377,0.000000000
delaunay_n24,omp_half,1,20,167983677,0.190314635, 7.732869588,12,1.187135959,5.426212861,0.971341611,0.000000000
delaunay_n24,omp_half,1,20,167969289,0.193506320, 7.759997947,12,1.205485166,5.437579243,0.971819714,0.000000000
delaunay_n24,omp_half,1,20,167939747,0.192824901, 7.738380752,12,1.181951283,5.436869452,0.969039356,0.000000000
delaunay_n24,omp_half,1,20,167986143,0.193885095, 7.780603191,12,1.212154235,5.442691030,0.975490019,0.000000000
delaunay_n24,omp_half,1,20,167985162,0.193093216, 7.818626438,12,1.249312805,5.445983513,0.972292868,0.000000000
delaunay_n24,omp_half,1,20,167931858,0.190815451, 7.759689917,12,1.198483929,5.436870050,0.976256125,0.000000000
delaunay_n24,omp_half,1,20,167998144,0.192320851, 7.754467242,12,1.191846362,5.441705893,0.970477067,0.000000000
delaunay_n24,omp_half,1,20,167942638,0.193523815, 7.735315475,12,1.190540474,5.420875169,0.971791403,0.000000000
delaunay_n24,omp_intermediate,1,20,167972009,0.192131190, 7.174553387,12,0.314806079,5.306771005,0.761642911,0.638888600
delaunay_n24,omp_intermediate,1,20,167936623,0.191996369, 7.175616954,12,0.321220381,5.316202289,0.760259265,0.626282767
delaunay_n24,omp_intermediate,1,20,167963399,0.194571203, 7.166928758,12,0.320749299,5.299450217,0.758654563,0.633824514
delaunay_n24,omp_intermediate,1,20,167993892,0.191733095, 7.176767397,12,0.309185580,5.314407402,0.761761847,0.641475308
delaunay_n24,omp_intermediate,1,20,167937476,0.194838754, 7.154427413,12,0.309686644,5.297200383,0.759142839,0.637915720
delaunay_n24,omp_intermediate,1,20,167987841,0.189972405, 6.870136892,11,0.290355343,5.077558731,0.737473805,0.615292526
delaunay_n24,omp_intermediate,1,20,167956570,0.191832329, 6.873663584,11,0.290196312,5.078900673,0.738298647,0.613560809
delaunay_n24,omp_intermediate,1,20,167949584,0.191943128, 6.863840837,11,0.286404822,5.082664968,0.738330974,0.604237554
delaunay_n24,omp_intermediate,1,20,167982463,0.192165893, 7.164192110,12,0.315786657,5.297218619,0.759469797,0.640176921
delaunay_n24,omp_half,2,12,167935693,0.191574423, 5.635218878,12,1.915111497,2.790687667,0.779296148,0.000000000
delaunay_n24,omp_half,2,12,167978192,0.191665899, 5.611741627,12,1.893072567,2.792726342,0.776370729,0.000000000
delaunay_n24,omp_half,2,12,167975265,0.191875841, 5.640453102,12,1.903810895,2.805626153,0.776603496,0.000000000
delaunay_n24,omp_half,2,12,167955578,0.192509813, 5.613075288,12,1.880951084,2.791761676,0.789403464,0.000000000
delaunay_n24,omp_half,2,12,167925511,0.195568345, 5.825266606,12,2.086348910,2.803661073,0.780184825,0.000000000
