graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
europe_osm,serial_half,1,16,1237737447,0.905085125, 13.187995477,0,0.000000000,0.000000000,0.000000000,0.000000000
europe_osm,serial_half,1,16,1237814098,0.263678777, 13.316370090,0,0.000000000,0.000000000,0.000000000,0.000000000
europe_osm,serial_half,1,16,1237799007,0.262315803, 13.233770667,0,0.000000000,0.000000000,0.000000000,0.000000000
europe_osm,serial_half,1,16,1237769852,0.258070639, 13.259117336,0,0.000000000,0.000000000,0.000000000,0.000000000
europe_osm,serial_half,1,16,1237708437,0.261011808, 13.341294224,0,0.000000000,0.000000000,0.000000000,0.000000000
europe_osm,serial_half,1,16,1237834392,0.259599438, 13.797386711,0,0.000000000,0.000000000,0.000000000,0.000000000
europe_osm,serial_half,1,16,1237658081,0.265178092, 13.323469298,0,0.000000000,0.000000000,0.000000000,0.000000000
europe_osm,serial_half,1,16,1237817950,0.259586266, 13.047648117,0,0.000000000,0.000000000,0.000000000,0.000000000
europe_osm,serial_half,1,16,1237947339,0.264637833, 13.313273399,0,0.000000000,0.000000000,0.000000000,0.000000000
europe_osm,omp_half,1,12,1237833658,0.260850035, 17.337823057,13,4.707108615,8.949314454,3.227998022,0.000000000
europe_osm,omp_half,1,12,1237545624,0.262315789, 17.451164523,13,4.769350728,8.974552233,3.242973018,0.000000000
europe_osm,omp_half,1,12,1237774453,0.262743005, 17.467389397,13,4.771001202,8.989121665,3.246159166,0.000000000
europe_osm,omp_half,1,12,1237789208,0.262704509, 17.266848809,13,4.594286294,8.983074116,3.237589487,0.000000000
europe_osm,omp_half,1,12,1237762571,0.262505054, 17.405421025,13,4.723413054,8.984218585,3.242758038,0.000000000
europe_osm,omp_half,1,12,1237713544,0.262945936, 18.139406025,14,4.870938470,9.498998865,3.311873072,0.000000000
europe_osm,omp_half,1,12,1237975834,0.261195855, 17.249486907,13,4.584819390,8.977752293,3.234364218,0.000000000
europe_osm,omp_half,1,12,1237641138,0.262131733, 17.314645175,13,4.651380337,8.969555826,3.242019394,0.000000000
europe_osm,omp_half,1,12,1237657789,0.265624352, 17.436775971,13,4.767925832,8.974345311,3.241282091,0.000000000
europe_osm,omp_intermediate,1,12,1237721652,0.262554883, 15.601449898,13,0.953252078,8.938373727,2.672981399,2.581957796
europe_osm,omp_intermediate,1,12,1237601992,0.263356854, 15.593568156,13,0.954957793,8.940586592,2.673977188,2.566518482
europe_osm,omp_intermediate,1,12,1237677769,0.260747604, 15.568303868,13,0.961688012,8.946194152,2.669240563,2.541718412
europe_osm,omp_intermediate,1,12,1237486830,0.262220586, 15.617894954,13,0.952529198,8.936500226,2.671052233,2.602853953
europe_osm,omp_intermediate,1,12,1237758571,0.264245251, 15.560313900,13,0.953962516,8.934917162,2.670317976,2.546211839
europe_osm,omp_intermediate,1,12,1237801004,0.260065193, 15.616755993,13,0.951656250,8.945350796,2.668160242,2.600714420
europe_osm,omp_intermediate,1,12,1237738974,0.263340170, 15.600400075,13,0.953949225,8.935041057,2.664752795,2.584830554
europe_osm,omp_intermediate,1,12,1237901367,0.266010478, 15.580123216,13,0.958091938,8.929737386,2.673388393,2.554204064
europe_osm,omp_intermediate,1,12,1237652824,0.264115432, 16.287284963,14,1.027261456,9.437329157,2.721523857,2.639247892
europe_osm,omp_half,1,16,1237735704,0.261623567, 17.306216237,13,4.649530417,8.967928124,3.228673491,0.000000000
europe_osm,omp_half,1,16,1237874699,0.262268910, 17.368573508,13,4.707428313,8.980968062,3.223129879,0.000000000
europe_osm,omp_half,1,16,1237883357,0.262440795, 17.512315720,13,4.842158434,8.976537277,3.229638623,0.000000000
europe_osm,omp_half,1,16,1237830090,0.262189652, 18.077542931,14,4.840442644,9.482252884,3.295234876,0.000000000
europe_osm,omp_half,1,16,1237660571,0.259808240, 17.257496197,13,4.634474066,8.949808215,3.218224170,0.000000000
europe_osm,omp_half,1,16,1237866273,0.261840188, 17.314386496,13,4.692480152,8.953641321,3.218336940,0.000000000
europe_osm,omp_half,1,16,1237731677,0.258903948, 17.354705038,13,4.718683300,8.962451437,3.223704885,0.000000000
europe_osm,omp_half,1,16,1237539380,0.259283070, 17.322306325,13,4.694309710,8.961298011,3.217108896,0.000000000
europe_osm,omp_half,1,16,1237780899,0.258210043, 17.381354708,13,4.721749372,8.981139706,3.228902048,0.000000000
europe_osm,omp_intermediate,1,16,1237696215,0.261538258, 15.610906272,13,0.961432557,8.930552976,2.671773953,2.592905280
europe_osm,omp_intermediate,1,16,1237893943,0.263922519, 15.574764147,13,0.953490868,8.920258231,2.672001317,2.571873214
europe_osm,omp_intermediate,1,16,1237731897,0.259901841, 16.314607541,14,1.024476344,9.427496734,2.728316163,2.684199175
europe_osm,omp_intermediate,1,16,1237695482,0.262867291, 15.555423549,13,0.956932626,8.926707449,2.663522847,2.554494037
europe_osm,omp_intermediate,1,16,1237594177,0.262447355, 15.582751394,13,0.952613880,8.924922693,2.660001765,2.590714301
europe_osm,omp_intermediate,1,16,1237906967,0.264111464, 15.565082676,13,0.958908838,8.931883294,2.668958917,2.549264256
europe_osm,omp_intermediate,1,16,1237768160,0.263142839, 15.588345834,13,0.954182560,8.922594421,2.665632664,2.584607942
europe_osm,omp_intermediate,1,16,1237829138,0.262413941, 15.539812145,13,0.953143583,8.935698396,2.666257742,2.524506177
europe_osm,omp_intermediate,1,16,1237835230,0.259306132, 15.264980438,13,0.942539498,8.727471416,2.622276044,2.520014738
europe_osm,omp_half,1,20,1237678776,0.261409157, 17.468558396,13,4.699056145,8.972829983,3.345503370,0.000000000
europe_osm,omp_half,1,20,1237753407,0.264873761, 17.352561355,13,4.586019306,8.972778504,3.332510048,0.000000000
europe_osm,omp_half,1,20,1237464104,0.264193007, 17.419873101,13,4.627744452,8.983807949,3.347061394,0.000000000
europe_osm,omp_half,1,20,1237739330,0.264114054, 17.506817728,13,4.733256975,8.966858722,3.341422864,0.000000000
europe_osm,omp_half,1,20,1237825691,0.263789844, 17.422733893,13,4.630858465,8.989069861,3.344358895,0.000000000
europe_osm,omp_half,1,20,1237735361,0.265306587, 17.511272178,13,4.708892927,8.994767851,3.341648902,0.000000000
europe_osm,omp_half,1,20,1237612545,0.263967060, 17.303682803,13,4.523922033,8.971252882,3.344836317,0.000000000
europe_osm,omp_half,1,20,1237809413,0.270514504, 18.336048056,14,4.954259085,9.487045435,3.429228822,0.000000000
europe_osm,omp_half,1,20,1237611085,0.263884088, 17.490571501,13,4.646691671,8.981527572,3.391389634,0.000000000
europe_osm,omp_intermediate,1,20,1237706498,0.262761277, 15.750267554,13,0.993765906,8.928598499,2.757191951,2.612656475
europe_osm,omp_intermediate,1,20,1237837389,0.259729901, 15.698038143,13,0.984985515,8.921786964,2.753331933,2.588475218
europe_osm,omp_intermediate,1,20,1237631301,0.263090715, 15.679171534,13,0.997483502,8.908670446,2.753059557,2.562796564
europe_osm,omp_intermediate,1,20,1237933626,0.261964621, 15.682555462,13,0.974713343,8.911108748,2.755552354,2.586062152
europe_osm,omp_intermediate,1,20,1237531871,0.262889953, 15.696764002,13,0.981223630,8.913772614,2.755321115,2.588526129
europe_osm,omp_intermediate,1,20,1237700424,0.259445325, 15.689068036,13,0.986802200,8.919197837,2.758101381,2.574731655
europe_osm,omp_intermediate,1,20,1237781825,0.263823700, 15.723159630,13,1.008624794,8.926239188,2.760682448,2.570612507
europe_osm,omp_intermediate,1,20,1237690202,0.261292335, 15.705565427,13,0.985093793,8.926221855,2.753355097,2.589324799
europe_osm,omp_intermediate,1,20,1237853071,0.261869106, 15.699226603,13,0.972079125,8.932622567,2.753002096,2.586607622
europe_osm,omp_half,2,12,1237719914,0.262404891, 14.312764223,13,6.752553735,4.735462343,2.373911276,0.000000000
europe_osm,omp_half,2,12,1237714841,0.264668669, 14.403687264,13,6.780632542,4.735391084,2.420852500,0.000000000
europe_osm,omp_half,2,12,1237686716,0.263333502, 14.121774777,13,6.723200706,4.751618814,2.188694690,0.000000000
europe_osm,omp_half,2,12,1237526393,0.260494292, 14.293773740,13,6.687965671,4.749059942,2.406974278,0.000000000
europe_osm,omp_half,2,12,1237615872,0.262707661, 14.242391659,13,6.745230260,4.751337854,2.287995772,0.000000000
europe_osm,omp_half,2,12,1237548546,0.262909983, 14.450975377,13,6.793215549,4.743563585,2.459267732,0.000000000
europe_osm,omp_half,2,12,1238016695,0.263374453, 14.479546562,13,6.821970041,4.732956743,2.467062664,0.000000000
europe_osm,omp_half,2,12,1237908990,0.264019718, 14.781515071,13,7.116549747,4.749170262,2.458089384,0.000000000
europe_osm,omp_half,2,12,1237625745,0.263886005, 14.098662801,13,6.617250892,4.734757079,2.266533793,0.000000000
europe_osm,omp_intermediate,2,12,1237615050,0.266399433, 12.148416266,13,3.425510674,4.733397894,2.183430484,1.345348275
europe_osm,omp_intermediate,2,12,1237861578,0.260671484, 12.772071306,14,3.689169767,5.000983036,2.227321223,1.396964967
europe_osm,omp_intermediate,2,12,1237810175,0.259849021, 12.745119907,14,3.664632060,5.011840579,2.209502543,1.402808320
europe_osm,omp_intermediate,2,12,1237778779,0.266752448, 12.123471464,13,3.419438898,4.732108666,2.160070774,1.348589604
europe_osm,omp_intermediate,2,12,1237800205,0.260962775, 12.146495152,13,3.423215699,4.749756629,2.167519483,1.346536663
europe_osm,omp_intermediate,2,12,1237722470,0.261659968, 12.123242449,13,3.406917924,4.747288242,2.161453295,1.350519617
europe_osm,omp_intermediate,2,12,1237764312,0.263963035, 12.119413504,13,3.425844541,4.738416481,2.159568050,1.332324899
europe_osm,omp_intermediate,2,12,1237619103,0.262177510, 12.050835215,13,3.365160819,4.762527275,2.121635185,1.345828815
europe_osm,omp_intermediate,2,12,1237826380,0.261988074, 12.078977683,13,3.396419168,4.748685673,2.128245631,1.344574526
europe_osm,omp_half,2,16,1237742124,0.263739670, 12.620088742,13,5.086027931,4.752453910,2.321233045,0.000000000
europe_osm,omp_half,2,16,1237637136,0.259865327, 12.984690260,13,5.411571180,4.763870255,2.352820940,0.000000000
europe_osm,omp_half,2,16,1237791162,0.265932744, 13.402993787,14,5.505781316,5.054624466,2.384089680,0.000000000
europe_osm,omp_half,2,16,1237866162,0.262450751, 12.952365960,13,5.391189234,4.766554603,2.332461889,0.000000000
europe_osm,omp_half,2,16,1237624587,0.264549989, 12.601048073,13,5.023590371,4.776019573,2.339326385,0.000000000
europe_osm,omp_half,2,16,1237848298,0.265092087, 12.951659068,13,5.392379243,4.747112313,2.360577032,0.000000000
europe_osm,omp_half,2,16,1237833946,0.262287513, 12.926138166,13,5.348153009,4.786166058,2.333333831,0.000000000
europe_osm,omp_half,2,16,1237612563,0.266395728, 13.647005626,13,6.080383390,4.754362951,2.351052131,0.000000000
europe_osm,omp_half,2,16,1237698917,0.259637479, 13.210536605,14,5.322431995,5.045456118,2.391798020,0.000000000
europe_osm,omp_intermediate,2,16,1237593176,0.263607222, 11.879761960,13,3.204481665,4.787780872,2.079097651,1.351140427
europe_osm,omp_intermediate,2,16,1237659229,0.264006879, 10.914081796,12,2.615302552,4.497272830,2.063326351,1.280951575
europe_osm,omp_intermediate,2,16,1237661585,0.263841226, 11.814942073,13,3.178511377,4.757831911,2.067052137,1.347811457
europe_osm,omp_intermediate,2,16,1237873581,0.265266589, 11.831000131,13,3.182705948,4.757428484,2.078612437,1.343925603
