graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
in-2004,serial_half,1,16,15784956,0.186238808, 0.394413192,0,0.000000000,0.000000000,0.000000000,0.000000000
in-2004,serial_half,1,16,15794599,0.047656275, 0.393065842,0,0.000000000,0.000000000,0.000000000,0.000000000
in-2004,serial_half,1,16,15767298,0.047716980, 0.395896679,0,0.000000000,0.000000000,0.000000000,0.000000000
in-2004,serial_half,1,16,15792849,0.048661969, 0.388240521,0,0.000000000,0.000000000,0.000000000,0.000000000
in-2004,serial_half,1,16,15783086,0.048123024, 0.388690171,0,0.000000000,0.000000000,0.000000000,0.000000000
in-2004,serial_half,1,16,15783186,0.047448359, 0.390390468,0,0.000000000,0.000000000,0.000000000,0.000000000
in-2004,serial_half,1,16,15791639,0.047836294, 0.423329241,0,0.000000000,0.000000000,0.000000000,0.000000000
in-2004,serial_half,1,16,15772510,0.046984641, 0.422639503,0,0.000000000,0.000000000,0.000000000,0.000000000
in-2004,serial_half,1,16,15758130,0.048341414, 0.423446281,0,0.000000000,0.000000000,0.000000000,0.000000000
in-2004,omp_half,1,12,15796965,0.048701264, 0.569766897,7,0.053391398,0.457174174,0.045313074,0.000000000
in-2004,omp_half,1,12,15789059,0.047507649, 0.565850606,7,0.050627376,0.456155302,0.045165960,0.000000000
in-2004,omp_half,1,12,15792770,0.048702504, 0.562345126,7,0.052256259,0.450989892,0.045315845,0.000000000
in-2004,omp_half,1,12,15781870,0.048227176, 0.563247300,7,0.051315388,0.452756955,0.045359475,0.000000000
in-2004,omp_half,1,12,15792556,0.047981080, 0.560775572,7,0.049668733,0.451397772,0.045088881,0.000000000
in-2004,omp_half,1,12,15783892,0.048730973, 0.565261081,7,0.050609740,0.454714544,0.044955547,0.000000000
in-2004,omp_half,1,12,15791220,0.048392769, 0.567089250,7,0.050927896,0.456449097,0.045383780,0.000000000
in-2004,omp_half,1,12,15787525,0.047917480, 0.566531952,7,0.054637128,0.452363011,0.045271052,0.000000000
in-2004,omp_half,1,12,15785317,0.048261617, 0.571974251,7,0.051470617,0.461095435,0.045803249,0.000000000
