graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
internet,serial_half,1,16,951569,0.010419966, 0.018339057,0,0.000000000,0.000000000,0.000000000,0.000000000
internet,serial_half,1,16,951569,0.001343915, 0.017952228,0,0.000000000,0.000000000,0.000000000,0.000000000
internet,serial_half,1,16,951569,0.001458873, 0.017851932,0,0.000000000,0.000000000,0.000000000,0.000000000
internet,serial_half,1,16,951569,0.001467249, 0.017839841,0,0.000000000,0.000000000,0.000000000,0.000000000
internet,serial_half,1,16,951569,0.001450068, 0.017979801,0,0.000000000,0.000000000,0.000000000,0.000000000
internet,serial_half,1,16,951569,0.001456425, 0.017809508,0,0.000000000,0.000000000,0.000000000,0.000000000
internet,serial_half,1,16,951569,0.001735063, 0.018083158,0,0.000000000,0.000000000,0.000000000,0.000000000
internet,serial_half,1,16,951569,0.001369181, 0.017844174,0,0.000000000,0.000000000,0.000000000,0.000000000
internet,serial_half,1,16,951569,0.001371785, 0.018009173,0,0.000000000,0.000000000,0.000000000,0.000000000
internet,omp_half,1,12,951569,0.001543843, 0.025662866,6,0.005018668,0.014758353,0.004654722,0.000000000
internet,omp_half,1,12,951569,0.001557424, 0.025182835,6,0.004900917,0.014404140,0.004640907,0.000000000
internet,omp_half,1,12,951569,0.001625255, 0.025130014,6,0.004784288,0.014504303,0.004620209,0.000000000
internet,omp_half,1,12,951569,0.001675226, 0.025075961,6,0.004816829,0.014382376,0.004566744,0.000000000
internet,omp_half,1,12,951569,0.001561904, 0.025291781,6,0.005013329,0.014517446,0.004533391,0.000000000
internet,omp_half,1,12,951569,0.001366898, 0.025085084,6,0.004856462,0.014544788,0.004526224,0.000000000
internet,omp_half,1,12,951569,0.001362728, 0.025233035,6,0.004911321,0.014640213,0.004563158,0.000000000
internet,omp_half,1,12,951569,0.001517141, 0.025172278,6,0.005032732,0.014457994,0.004465951,0.000000000
internet,omp_half,1,12,951569,0.001427343, 0.025111984,6,0.004795940,0.014694291,0.004491673,0.000000000
internet,omp_intermediate,1,12,951569,0.001648174, 0.022699335,6,0.001055073,0.014130050,0.003367304,0.002946623
internet,omp_intermediate,1,12,951569,0.001669249, 0.022999746,6,0.001115900,0.014028830,0.003461446,0.003070331
internet,omp_intermediate,1,12,951569,0.001767736, 0.022834939,6,0.001088809,0.014155863,0.003448517,0.002935521
internet,omp_intermediate,1,12,951569,0.001522093, 0.022930499,6,0.001061676,0.014144368,0.003414923,0.003074848
internet,omp_intermediate,1,12,951569,0.001367716, 0.022899121,6,0.001057091,0.014420287,0.003442687,0.002885575
internet,omp_intermediate,1,12,951569,0.001545639, 0.022844681,6,0.001093352,0.014107704,0.003452774,0.002984518
internet,omp_intermediate,1,12,951569,0.001486137, 0.022900100,6,0.001116644,0.014206517,0.003395081,0.003020745
internet,omp_intermediate,1,12,951569,0.001552368, 0.023087287,6,0.001148225,0.014294790,0.003405632,0.003057915
internet,omp_intermediate,1,12,951569,0.001529063, 0.022817871,6,0.001082453,0.014153033,0.003352697,0.002975422
internet,omp_half,1,16,951569,0.001490369, 0.025074876,6,0.004898947,0.014470778,0.004480514,0.000000000
internet,omp_half,1,16,951569,0.001431119, 0.025170219,6,0.004780178,0.014777628,0.004480626,0.000000000
internet,omp_half,1,16,951569,0.001457489, 0.024955064,6,0.004692615,0.014530683,0.004559432,0.000000000
internet,omp_half,1,16,951569,0.001633401, 0.025218684,6,0.004741271,0.014545364,0.004573321,0.000000000
internet,omp_half,1,16,951569,0.001558242, 0.024944225,6,0.004729826,0.014489557,0.004493575,0.000000000
internet,omp_half,1,16,951569,0.001374727, 0.024828423,6,0.004785335,0.014443712,0.004467158,0.000000000
internet,omp_half,1,16,951569,0.001386558, 0.025084007,6,0.004711141,0.014696853,0.004564817,0.000000000
internet,omp_half,1,16,951569,0.001532157, 0.025092390,6,0.004892075,0.014468436,0.004519379,0.000000000
internet,omp_half,1,16,951569,0.001437390, 0.025203147,6,0.004826113,0.014762251,0.004457141,0.000000000
internet,omp_intermediate,1,16,951569,0.001618552, 0.022740162,6,0.001099732,0.014095797,0.003342134,0.003014319
internet,omp_intermediate,1,16,951569,0.001645317, 0.022893279,6,0.001122711,0.014002198,0.003338802,0.003052440
internet,omp_intermediate,1,16,951569,0.001721644, 0.022839417,6,0.001107189,0.014113117,0.003398986,0.002958910
internet,omp_intermediate,1,16,951569,0.001509218, 0.022740935,6,0.001094454,0.014211119,0.003292469,0.002947694
internet,omp_intermediate,1,16,951569,0.001574822, 0.022981798,6,0.001127777,0.014202147,0.003384182,0.003019621
internet,omp_intermediate,1,16,951569,0.001467186, 0.022960767,6,0.001121109,0.014152478,0.003395196,0.003076162
internet,omp_intermediate,1,16,951569,0.001508355, 0.023195086,6,0.001122659,0.014414001,0.003404358,0.003028810
internet,omp_intermediate,1,16,951569,0.001570344, 0.022955846,6,0.001084018,0.014331933,0.003378727,0.002989638
internet,omp_intermediate,1,16,951569,0.001487179, 0.023028467,6,0.001100288,0.014312799,0.003416455,0.003033334
internet,omp_half,1,20,951569,0.001463526, 0.025118518,6,0.004858717,0.014424119,0.004639198,0.000000000
internet,omp_half,1,20,951569,0.001439936, 0.025161726,6,0.004791195,0.014693904,0.004565571,0.000000000
internet,omp_half,1,20,951569,0.001598812, 0.025120973,6,0.004865346,0.014456261,0.004612191,0.000000000
