graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
r4-2e23.sym,serial_half,1,16,12284371526,0.857092476, 11.789789065,0,0.000000000,0.000000000,0.000000000,0.000000000
r4-2e23.sym,serial_half,1,16,12284371526,0.235263802, 11.838335668,0,0.000000000,0.000000000,0.000000000,0.000000000
r4-2e23.sym,serial_half,1,16,12284371526,0.232772502, 11.867385031,0,0.000000000,0.000000000,0.000000000,0.000000000
r4-2e23.sym,serial_half,1,16,12284371526,0.230967064, 11.869827478,0,0.000000000,0.000000000,0.000000000,0.000000000
r4-2e23.sym,serial_half,1,16,12284371526,0.231863470, 11.658681181,0,0.000000000,0.000000000,0.000000000,0.000000000
r4-2e23.sym,serial_half,1,16,12284371526,0.231803593, 11.853675933,0,0.000000000,0.000000000,0.000000000,0.000000000
r4-2e23.sym,serial_half,1,16,12284371526,0.233485423, 11.885664765,0,0.000000000,0.000000000,0.000000000,0.000000000
r4-2e23.sym,serial_half,1,16,12284371526,0.233933182, 11.979707001,0,0.000000000,0.000000000,0.000000000,0.000000000
r4-2e23.sym,serial_half,1,16,12284371526,0.233181519, 11.889058253,0,0.000000000,0.000000000,0.000000000,0.000000000
r4-2e23.sym,omp_half,1,12,12284371526,0.233640825, 14.733788590,10,0.717580836,13.145395478,0.795080801,0.000000000
r4-2e23.sym,omp_half,1,12,12284371526,0.231652515, 14.490403882,10,0.719450262,12.899670599,0.795669542,0.000000000
r4-2e23.sym,omp_half,1,12,12284371526,0.232429566, 14.498023733,10,0.720499318,12.906973822,0.794704793,0.000000000
r4-2e23.sym,omp_half,1,12,12284371526,0.233033721, 14.510500673,10,0.720654980,12.916407611,0.795465222,0.000000000
r4-2e23.sym,omp_half,1,12,12284371526,0.233618091, 14.487410079,10,0.721213560,12.893421010,0.797052466,0.000000000
r4-2e23.sym,omp_half,1,12,12284371526,0.232803102, 14.496325775,10,0.716594315,12.908616080,0.794838109,0.000000000
r4-2e23.sym,omp_half,1,12,12284371526,0.232786947, 14.481244637,10,0.715609648,12.894355896,0.795112486,0.000000000
r4-2e23.sym,omp_half,1,12,12284371526,0.230538454, 14.502716628,10,0.716485971,12.913951370,0.797021275,0.000000000
r4-2e23.sym,omp_half,1,12,12284371526,0.234918652, 14.492359730,10,0.715334205,12.904543940,0.794654227,0.000000000
r4-2e23.sym,omp_intermediate,1,12,12284371526,0.236538591, 14.490550020,10,0.121532429,13.177299735,0.601594869,0.512140661
r4-2e23.sym,omp_intermediate,1,12,12284371526,0.233967513, 14.519444702,10,0.120786237,13.204923088,0.601455227,0.515905975
r4-2e23.sym,omp_intermediate,1,12,12284371526,0.235570909, 14.497016437,10,0.121514613,13.183707217,0.601234451,0.513966312
r4-2e23.sym,omp_intermediate,1,12,12284371526,0.234836128, 14.480947390,10,0.121915007,13.167150793,0.600414233,0.514596905
r4-2e23.sym,omp_intermediate,1,12,12284371526,0.233725116, 14.499357300,10,0.121435622,13.173978718,0.613395240,0.514040007
r4-2e23.sym,omp_intermediate,1,12,12284371526,0.232748433, 14.479553205,10,0.121158521,13.171033884,0.599889625,0.511470041
r4-2e23.sym,omp_intermediate,1,12,12284371526,0.233237713, 14.493527976,10,0.121573700,13.182612157,0.599915339,0.513557513
r4-2e23.sym,omp_intermediate,1,12,12284371526,0.233687775, 14.511903243,10,0.121035072,13.201823596,0.601663846,0.511010977
r4-2e23.sym,omp_intermediate,1,12,12284371526,0.232207153, 14.481130204,10,0.121619528,13.168620794,0.602446399,0.512890109
r4-2e23.sym,omp_half,1,16,12284371526,0.235776144, 14.499410314,10,0.707911593,12.924537818,0.788916489,0.000000000
r4-2e23.sym,omp_half,1,16,12284371526,0.234112272, 14.493843533,10,0.706051711,12.918560656,0.789867989,0.000000000
r4-2e23.sym,omp_half,1,16,12284371526,0.233552609, 14.472312631,10,0.705670601,12.900174268,0.789656119,0.000000000
r4-2e23.sym,omp_half,1,16,12284371526,0.235558648, 14.509220932,10,0.707692171,12.931802898,0.792195769,0.000000000
r4-2e23.sym,omp_half,1,16,12284371526,0.236323682, 14.467122736,10,0.706319777,12.892038496,0.790548329,0.000000000
r4-2e23.sym,omp_half,1,16,12284371526,0.232875922, 14.490903082,10,0.710237128,12.907432471,0.792904370,0.000000000
r4-2e23.sym,omp_half,1,16,12284371526,0.233061721, 14.501092780,10,0.708128354,12.921825659,0.794038439,0.000000000
r4-2e23.sym,omp_half,1,16,12284371526,0.234922677, 14.501027059,10,0.709352283,12.920028510,0.795061117,0.000000000
r4-2e23.sym,omp_half,1,16,12284371526,0.232195981, 14.495991794,10,0.706175303,12.920820296,0.791867035,0.000000000
r4-2e23.sym,omp_intermediate,1,16,12284371526,0.233836186, 14.465626538,10,0.121809756,13.157096923,0.598271116,0.512101070
r4-2e23.sym,omp_intermediate,1,16,12284371526,0.235008960, 14.493728153,10,0.122317681,13.181596852,0.598235351,0.513273755
r4-2e23.sym,omp_intermediate,1,16,12284371526,0.236393060, 14.498190092,10,0.122095163,13.185107689,0.597109729,0.515850438
r4-2e23.sym,omp_intermediate,1,16,12284371526,0.232662604, 14.484246358,10,0.120583115,13.173222897,0.598947392,0.515862032
r4-2e23.sym,omp_intermediate,1,16,12284371526,0.234649471, 14.474549872,10,0.120919533,13.156735431,0.608371863,0.512774282
r4-2e23.sym,omp_intermediate,1,16,12284371526,0.235850833, 14.460094091,10,0.122491742,13.150139489,0.596438275,0.512096796
r4-2e23.sym,omp_intermediate,1,16,12284371526,0.235068191, 14.462309586,10,0.122001316,13.152781565,0.594938961,0.514803432
r4-2e23.sym,omp_intermediate,1,16,12284371526,0.232930278, 14.473144517,10,0.121310104,13.167084689,0.596098898,0.512983212
r4-2e23.sym,omp_intermediate,1,16,12284371526,0.232112146, 14.469444247,10,0.121300247,13.164734908,0.595378821,0.511693043
r4-2e23.sym,omp_half,1,20,12284371526,0.232522621, 14.465634238,10,0.702495267,12.882274698,0.804192043,0.000000000
r4-2e23.sym,omp_half,1,20,12284371526,0.233007130, 14.504333430,10,0.706731705,12.915487111,0.805343937,0.000000000
r4-2e23.sym,omp_half,1,20,12284371526,0.232612511, 14.480477676,10,0.702825289,12.895928598,0.804078648,0.000000000
r4-2e23.sym,omp_half,1,20,12284371526,0.261693412, 14.530668343,10,0.713701171,12.907377479,0.822233206,0.000000000
r4-2e23.sym,omp_half,1,20,12284371526,0.236013856, 14.489729154,10,0.703557060,12.901769862,0.806833927,0.000000000
r4-2e23.sym,omp_half,1,20,12284371526,0.234305634, 14.512254460,10,0.709694563,12.917110982,0.808176300,0.000000000
r4-2e23.sym,omp_half,1,20,12284371526,0.262874038, 14.510498940,10,0.706954069,12.909698766,0.806933122,0.000000000
r4-2e23.sym,omp_half,1,20,12284371526,0.233634674, 14.497169883,10,0.704832836,12.907468547,0.807627261,0.000000000
r4-2e23.sym,omp_half,1,20,12284371526,0.231212997, 14.519948097,10,0.703124524,12.933455843,0.807863121,0.000000000
r4-2e23.sym,omp_intermediate,1,20,12284371526,0.238866999, 14.490740352,10,0.128133857,13.167911281,0.607551732,0.510576493
r4-2e23.sym,omp_intermediate,1,20,12284371526,0.232612204, 14.509909366,10,0.127079468,13.185433500,0.608345609,0.513264762
r4-2e23.sym,omp_intermediate,1,20,12284371526,0.232817443, 14.517452223,10,0.131638642,13.184356102,0.610327119,0.514034106
r4-2e23.sym,omp_intermediate,1,20,12284371526,0.232741097, 14.497173607,10,0.129357794,13.171377820,0.607253655,0.512194198
r4-2e23.sym,omp_intermediate,1,20,12284371526,0.233271260, 14.501529030,10,0.132146893,13.168176078,0.610471610,0.513386691
