graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
rmat16.sym,serial_half,1,16,693935344,0.078097122, 0.026605058,0,0.000000000,0.000000000,0.000000000,0.000000000
rmat16.sym,serial_half,1,16,693935344,0.004091744, 0.027647314,0,0.000000000,0.000000000,0.000000000,0.000000000
rmat16.sym,serial_half,1,16,693935344,0.003772290, 0.027977923,0,0.000000000,0.000000000,0.000000000,0.000000000
rmat16.sym,serial_half,1,16,693935344,0.004389233, 0.026188802,0,0.000000000,0.000000000,0.000000000,0.000000000
rmat16.sym,serial_half,1,16,693935344,0.003184696, 0.025758939,0,0.000000000,0.000000000,0.000000000,0.000000000
rmat16.sym,serial_half,1,16,693935344,0.003182085, 0.025735499,0,0.000000000,0.000000000,0.000000000,0.000000000
rmat16.sym,serial_half,1,16,693935344,0.003448078, 0.025831661,0,0.000000000,0.000000000,0.000000000,0.000000000
rmat16.sym,serial_half,1,16,693935344,0.003460500, 0.025778911,0,0.000000000,0.000000000,0.000000000,0.000000000
rmat16.sym,serial_half,1,16,693935344,0.003442888, 0.025729252,0,0.000000000,0.000000000,0.000000000,0.000000000
rmat16.sym,omp_half,1,12,693935344,0.003451355, 0.036659475,6,0.002989119,0.030380086,0.002614771,0.000000000
rmat16.sym,omp_half,1,12,693935344,0.003848213, 0.036587464,6,0.002808079,0.030518847,0.002495426,0.000000000
rmat16.sym,omp_half,1,12,693935344,0.003566474, 0.036811693,6,0.002846596,0.030568828,0.002694458,0.000000000
rmat16.sym,omp_half,1,12,693935344,0.003559664, 0.036656975,6,0.002876413,0.030445424,0.002663928,0.000000000
rmat16.sym,omp_half,1,12,693935344,0.004090897, 0.036723525,6,0.002829576,0.030510508,0.002609579,0.000000000
rmat16.sym,omp_half,1,12,693935344,0.003625508, 0.036726432,6,0.002941161,0.030534253,0.002583225,0.000000000
rmat16.sym,omp_half,1,12,693935344,0.004057710, 0.036716941,6,0.002901664,0.030480586,0.002568863,0.000000000
rmat16.sym,omp_half,1,12,693935344,0.003419687, 0.036729237,6,0.002968955,0.030538184,0.002524711,0.000000000
rmat16.sym,omp_half,1,12,693935344,0.003897338, 0.036903242,6,0.002924929,0.030600285,0.002567847,0.000000000
rmat16.sym,omp_intermediate,1,12,693935344,0.003178966, 0.035957630,6,0.000642066,0.030761810,0.001816192,0.002055847
rmat16.sym,omp_intermediate,1,12,693935344,0.003444194, 0.036044888,6,0.000617656,0.030740744,0.001990114,0.002041627
rmat16.sym,omp_intermediate,1,12,693935344,0.003929494, 0.035812956,6,0.000573037,0.030715686,0.001847491,0.001967476
rmat16.sym,omp_intermediate,1,12,693935344,0.003275188, 0.035887765,6,0.000627573,0.030730602,0.001815603,0.002027576
rmat16.sym,omp_intermediate,1,12,693935344,0.004301786, 0.035746508,6,0.000607228,0.030580659,0.001832407,0.001999624
rmat16.sym,omp_intermediate,1,12,693935344,0.003333032, 0.035878165,6,0.000650585,0.030649565,0.001814174,0.002052229
rmat16.sym,omp_intermediate,1,12,693935344,0.004054568, 0.035824988,6,0.000576458,0.030783800,0.001810810,0.001989757
rmat16.sym,omp_intermediate,1,12,693935344,0.003324296, 0.035922162,6,0.000632929,0.030638073,0.001795482,0.002116892
rmat16.sym,omp_intermediate,1,12,693935344,0.004130583, 0.035687105,6,0.000580659,0.030661265,0.001779494,0.001970833
rmat16.sym,omp_half,1,16,693935344,0.003502745, 0.036674123,6,0.002944043,0.030445201,0.002604935,0.000000000
rmat16.sym,omp_half,1,16,693935344,0.004127315, 0.036402788,6,0.002781817,0.030349683,0.002531986,0.000000000
rmat16.sym,omp_half,1,16,693935344,0.003329905, 0.036681020,6,0.002922981,0.030579138,0.002527870,0.000000000
