graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
soc-LiveJournal1,serial_half,1,16,57660234,0.513696629, 2.927240464,0,0.000000000,0.000000000,0.000000000,0.000000000
soc-LiveJournal1,serial_half,1,16,57615278,0.149350359, 2.725828800,0,0.000000000,0.000000000,0.000000000,0.000000000
soc-LiveJournal1,serial_half,1,16,57626764,0.149625525, 2.694837156,0,0.000000000,0.000000000,0.000000000,0.000000000
soc-LiveJournal1,serial_half,1,16,57612535,0.149981209, 2.659649700,0,0.000000000,0.000000000,0.000000000,0.000000000
soc-LiveJournal1,serial_half,1,16,57608914,0.152968479, 2.741999768,0,0.000000000,0.000000000,0.000000000,0.000000000
soc-LiveJournal1,serial_half,1,16,57632629,0.151626379, 3.012661960,0,0.000000000,0.000000000,0.000000000,0.000000000
soc-LiveJournal1,serial_half,1,16,57615925,0.150799807, 3.065870829,0,0.000000000,0.000000000,0.000000000,0.000000000
soc-LiveJournal1,serial_half,1,16,57604215,0.151023800, 2.571193114,0,0.000000000,0.000000000,0.000000000,0.000000000
soc-LiveJournal1,serial_half,1,16,57591731,0.150704064, 2.841722107,0,0.000000000,0.000000000,0.000000000,0.000000000
soc-LiveJournal1,omp_half,1,12,57587313,0.150876126, 3.500389461,6,0.173028657,3.037597272,0.245248619,0.000000000
soc-LiveJournal1,omp_half,1,12,57614948,0.149197070, 3.450293355,6,0.170017520,2.988886134,0.247117856,0.000000000
soc-LiveJournal1,omp_half,1,12,57594632,0.149683134, 3.483720778,6,0.173374981,3.020492108,0.245891487,0.000000000
soc-LiveJournal1,omp_half,1,12,57617943,0.150899329, 3.542908739,6,0.176244053,3.077729119,0.244836398,0.000000000
soc-LiveJournal1,omp_half,1,12,57622225,0.149948229, 3.455038835,6,0.170649726,2.993629110,0.245915520,0.000000000
soc-LiveJournal1,omp_half,1,12,57583458,0.148693809, 3.602204179,7,0.184073440,3.120556815,0.254100677,0.000000000
soc-LiveJournal1,omp_half,1,12,57617920,0.150350244, 3.922521034,7,0.185552675,3.438905658,0.253375157,0.000000000
soc-LiveJournal1,omp_half,1,12,57630255,0.149691537, 3.491279311,6,0.168625875,3.032090313,0.246061738,0.000000000
soc-LiveJournal1,omp_half,1,12,57618363,0.149941286, 3.474181156,6,0.169751917,3.014004663,0.246394584,0.000000000
soc-LiveJournal1,omp_intermediate,1,12,57597372,0.150731007, 3.562031227,6,0.042222977,3.191396018,0.170594622,0.113994719
soc-LiveJournal1,omp_intermediate,1,12,57642874,0.148884180, 3.848549231,7,0.049533626,3.458507582,0.178731282,0.118428187
soc-LiveJournal1,omp_intermediate,1,12,57615278,0.150393131, 3.574209126,6,0.043257952,3.205197323,0.172009643,0.109905543
soc-LiveJournal1,omp_intermediate,1,12,57619129,0.148593183, 3.546898846,6,0.042103865,3.174767550,0.172400276,0.113756537
soc-LiveJournal1,omp_intermediate,1,12,57607705,0.150464574, 3.417759683,6,0.042027734,3.051540391,0.172884981,0.106232156
soc-LiveJournal1,omp_intermediate,1,12,57577441,0.148879219, 3.565898133,6,0.041750599,3.195074906,0.172330997,0.113278565
soc-LiveJournal1,omp_intermediate,1,12,57571835,0.150817105, 3.560953500,6,0.042304768,3.188742577,0.172864857,0.112303652
soc-LiveJournal1,omp_intermediate,1,12,57604538,0.149228606, 3.286583460,6,0.042165520,2.926282907,0.171878303,0.102517541
soc-LiveJournal1,omp_intermediate,1,12,57582398,0.149347647, 3.319373548,6,0.041894199,2.960825243,0.171996179,0.100845481
soc-LiveJournal1,omp_half,1,16,57587616,0.148733868, 3.292508264,6,0.157689151,2.844885237,0.245995945,0.000000000
soc-LiveJournal1,omp_half,1,16,57587856,0.149593316, 3.601199284,6,0.172336665,3.138134087,0.246698107,0.000000000
soc-LiveJournal1,omp_half,1,16,57597366,0.151828224, 3.279529311,6,0.155484468,2.833915298,0.245282890,0.000000000
soc-LiveJournal1,omp_half,1,16,57641339,0.148425549, 3.385028843,6,0.170279594,2.925958466,0.244844846,0.000000000
soc-LiveJournal1,omp_half,1,16,57621254,0.149937318, 3.452322141,6,0.170178748,2.991004959,0.246746100,0.000000000
soc-LiveJournal1,omp_half,1,16,57650518,0.149084068, 3.572083586,6,0.171517863,3.110935998,0.246108131,0.000000000
soc-LiveJournal1,omp_half,1,16,57588661,0.150467871, 3.375813027,6,0.163941121,2.922060898,0.245666848,0.000000000
soc-LiveJournal1,omp_half,1,16,57630590,0.150951063, 3.376456780,6,0.162924699,2.923249139,0.245220224,0.000000000
soc-LiveJournal1,omp_half,1,16,57602671,0.150169603, 3.481310726,6,0.172010318,3.018675027,0.246250085,0.000000000
soc-LiveJournal1,omp_intermediate,1,16,57593613,0.150970626, 3.436169204,6,0.042010356,3.071659886,0.171485341,0.107228379
soc-LiveJournal1,omp_intermediate,1,16,57648924,0.147831890, 3.612879526,6,0.042751175,3.253350000,0.171762735,0.101054129
soc-LiveJournal1,omp_intermediate,1,16,57558239,0.150439051, 3.394973260,6,0.042426790,3.032526400,0.171262146,0.104999521
soc-LiveJournal1,omp_intermediate,1,16,57607558,0.150101063, 3.444799758,6,0.042488819,3.076249631,0.170351028,0.110903850
soc-LiveJournal1,omp_intermediate,1,16,57622773,0.148443575, 3.540862240,6,0.041964661,3.170168246,0.171211214,0.113652770
soc-LiveJournal1,omp_intermediate,1,16,57637653,0.150233111, 3.487573629,6,0.042031977,3.116867357,0.170948781,0.113362809
soc-LiveJournal1,omp_intermediate,1,16,57603060,0.151117726, 3.941997064,6,0.044338828,3.538467518,0.171130989,0.143207048
soc-LiveJournal1,omp_intermediate,1,16,57611886,0.149920083, 3.976323628,6,0.042214226,3.580905978,0.172084038,0.137091360
soc-LiveJournal1,omp_intermediate,1,16,57606311,0.149834697, 3.283431099,6,0.042122242,2.926700107,0.170293693,0.101067076
soc-LiveJournal1,omp_half,1,20,57595457,0.150314189, 3.362976297,6,0.160054541,2.907927260,0.249547285,0.000000000
soc-LiveJournal1,omp_half,1,20,57601539,0.149627408, 3.467448876,6,0.166104779,3.005216921,0.250713973,0.000000000
soc-LiveJournal1,omp_half,1,20,57556307,0.149549133, 3.575039041,6,0.171429442,3.111212296,0.248295523,0.000000000
soc-LiveJournal1,omp_half,1,20,57585017,0.148062243, 3.577985378,6,0.171843381,3.113310151,0.249300702,0.000000000
soc-LiveJournal1,omp_half,1,20,57624705,0.150045845, 3.554880817,6,0.172203596,3.088800619,0.249770374,0.000000000
soc-LiveJournal1,omp_half,1,20,57618169,0.150179674, 3.539824510,7,0.171553578,3.066206828,0.258069911,0.000000000
soc-LiveJournal1,omp_half,1,20,57595444,0.150222550, 3.279862480,6,0.158998166,2.827102168,0.249977791,0.000000000
soc-LiveJournal1,omp_half,1,20,57625407,0.152048403, 3.561245898,7,0.168648774,3.088663733,0.258611873,0.000000000
soc-LiveJournal1,omp_half,1,20,57585601,0.149662974, 3.462976840,6,0.168012303,3.002422016,0.248109570,0.000000000
soc-LiveJournal1,omp_intermediate,1,20,57601680,0.150140083, 3.399267140,6,0.045665430,3.020731807,0.179230205,0.108594982
soc-LiveJournal1,omp_intermediate,1,20,57626352,0.147890716, 3.339857606,6,0.046725160,2.973033178,0.174147606,0.101733660
soc-LiveJournal1,omp_intermediate,1,20,57606829,0.148987030, 3.356110841,6,0.047955568,2.985813516,0.174112184,0.103549991
soc-LiveJournal1,omp_intermediate,1,20,57630461,0.150290917, 3.580076249,6,0.048113481,3.198863361,0.172993967,0.115896718
soc-LiveJournal1,omp_intermediate,1,20,57619478,0.148888851, 3.597938134,6,0.047091968,3.217372621,0.176402889,0.112939039
soc-LiveJournal1,omp_intermediate,1,20,57602205,0.150029301, 3.363181485,6,0.046588285,2.995560346,0.174912149,0.101386935
soc-LiveJournal1,omp_intermediate,1,20,57592833,0.149582405, 3.578308010,6,0.045882999,3.200845018,0.174317288,0.113230453
soc-LiveJournal1,omp_intermediate,1,20,57636170,0.149107983, 3.321903600,6,0.046866062,2.956400108,0.174461543,0.100576292
soc-LiveJournal1,omp_intermediate,1,20,57605382,0.151827440, 3.391213391,6,0.045371444,3.024474227,0.173747744,0.102922572
soc-LiveJournal1,omp_half,2,12,57620793,0.148820211, 3.064149027,6,0.325194719,2.503614999,0.191490816,0.000000000
soc-LiveJournal1,omp_half,2,12,57601919,0.150999374, 2.799334793,6,0.270911412,2.299893525,0.184366165,0.000000000
soc-LiveJournal1,omp_half,2,12,57592832,0.148947056, 2.998636504,6,0.302365712,2.459431948,0.192796903,0.000000000
soc-LiveJournal1,omp_half,2,12,57594759,0.149044513, 2.948125622,6,0.236018482,2.476202318,0.192094864,0.000000000
soc-LiveJournal1,omp_half,2,12,57607301,0.151033359, 2.954199451,6,0.196493126,2.521908849,0.191526949,0.000000000
soc-LiveJournal1,omp_half,2,12,57606451,0.151306783, 2.751471226,6,0.192059501,2.334168688,0.181047677,0.000000000
soc-LiveJournal1,omp_half,2,12,57612700,0.149737252, 2.931163860,6,0.196862145,2.496280138,0.193536774,0.000000000
soc-LiveJournal1,omp_half,2,12,57561208,0.149970878, 3.091245645,7,0.234866836,2.630226131,0.181398892,0.000000000
soc-LiveJournal1,omp_half,2,12,57639143,0.150217509, 2.712133796,6,0.186208289,2.297117520,0.184858062,0.000000000
soc-LiveJournal1,omp_intermediate,2,12,57622865,0.151241677, 2.848600558,6,0.148931602,2.437250737,0.161988406,0.056176939
soc-LiveJournal1,omp_intermediate,2,12,57608027,0.153359451, 2.992351117,6,0.145732632,2.585002853,0.151601954,0.064000678
soc-LiveJournal1,omp_intermediate,2,12,57627515,0.149985615, 2.890547900,6,0.150050004,2.474758495,0.163420514,0.057125363
soc-LiveJournal1,omp_intermediate,2,12,57575485,0.152224253, 2.897126288,6,0.147263178,2.479629659,0.162871927,0.061447365
soc-LiveJournal1,omp_intermediate,2,12,57653755,0.148079820, 2.967088904,6,0.147909848,2.550972262,0.162399387,0.061496259
soc-LiveJournal1,omp_intermediate,2,12,57621934,0.150822104, 3.083089587,7,0.169884723,2.666112197,0.141607034,0.061367217
soc-LiveJournal1,omp_intermediate,2,12,57623017,0.150898137, 3.270652231,7,0.175868704,2.822214491,0.168466810,0.059028454
soc-LiveJournal1,omp_intermediate,2,12,57621896,0.150157134, 3.223685414,7,0.171024456,2.786673111,0.157328632,0.064525692
soc-LiveJournal1,omp_intermediate,2,12,57631976,0.148191142, 3.117703153,7,0.155378107,2.688756100,0.166465792,0.063411344
soc-LiveJournal1,omp_half,2,16,57608731,0.152249521, 2.718165990,6,0.174973073,2.305801219,0.193638174,0.000000000
soc-LiveJournal1,omp_half,2,16,57594487,0.149931198, 2.685696329,6,0.146639432,2.308839776,0.185438132,0.000000000
soc-LiveJournal1,omp_half,2,16,57592991,0.150525217, 2.911258456,6,0.247315813,2.436156813,0.183068067,0.000000000
