run_no,weight,serial_full,serial_half,serial_split,omp_half
1,60109136592,9241277,7816821,8760275,1497336
2,60109136592,9015574,7923638,8619186,1519700
3,60109136592,9186262,8067125,8331514,1517973
4,60109136592,10175501,7846669,7978199,1492979
5,60109136592,9247816,7885909,7877583,1521464
6,60109136592,8847250,8104807,7873680,1476169
7,60109136592,8506467,8082740,7774984,1523554
8,60109136592,8841312,8086600,7604302,1503406
9,60109136592,8968190,8072854,7607228,1507075
10,60109136592,9079203,7852586,7615734,1508193
