graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
2d-2e20.sym,omp_half,1,12,2806989831.0,0.013149845,0.326176708,12.0,0.071952096,0.200686452,0.046398745,0.0
2d-2e20.sym,omp_half,1,16,2806989831.0,0.013281161,0.326581676,12.0,0.071724732,0.200807429,0.046486528,0.0
2d-2e20.sym,omp_half,1,20,2806989831.0,0.013533131,0.325829737,12.0,0.071288361,0.200351034,0.047042176,0.0
2d-2e20.sym,omp_half,2,12,2806989831.0,0.013193823,0.250746603,12.0,0.103463159,0.108740313,0.030868715,0.0
2d-2e20.sym,omp_half,2,16,2806989831.0,0.013269673,0.233498012,12.0,0.085534684,0.10874752,0.030610766,0.0
2d-2e20.sym,omp_half,2,20,2806989831.0,0.013307735,0.224218291,12.0,0.073468271,0.111712348,0.030598659,0.0
2d-2e20.sym,omp_half,4,12,2806989831.0,0.013086828,0.127529312,12.0,0.033703635,0.064866248,0.020374256,0.0
2d-2e20.sym,omp_half,4,16,2806989831.0,0.012720451,0.12525363,12.0,0.031761178,0.066693689,0.02011423,0.0
2d-2e20.sym,omp_half,4,20,2806989831.0,0.013571374,0.127437146,12.0,0.0314359,0.067182102,0.020004976,0.0
2d-2e20.sym,omp_half,8,12,2806989831.0,0.013485105,0.102592775,12.0,0.028343678,0.048215493,0.018069305,0.0
2d-2e20.sym,omp_half,8,16,2806989831.0,0.014088275,0.102364341,12.0,0.025562664,0.049792836,0.018119817,0.0
2d-2e20.sym,omp_half,8,20,2806989831.0,0.013599299,0.100142861,12.0,0.025289763,0.048969204,0.0176531,0.0
2d-2e20.sym,omp_half,12,12,2806989831.0,0.013505955,0.113834367,12.0,0.029265623,0.051838246,0.023503041,0.0
2d-2e20.sym,omp_half,12,16,2806989831.0,0.01409067,0.112445714,12.0,0.028574514,0.05245791,0.023080291,0.0
2d-2e20.sym,omp_half,12,20,2806989831.0,0.013798981,0.109644326,12.0,0.027511884,0.05254435,0.021836082,0.0
2d-2e20.sym,omp_half,16,12,2806989831.0,0.013839585,0.118205228,12.0,0.030195256,0.054799294,0.024769735,0.0
2d-2e20.sym,omp_half,16,16,2806989831.0,0.0135626,0.114725748,12.0,0.028642513,0.054928025,0.02414605,0.0
2d-2e20.sym,omp_half,16,20,2806989831.0,0.014067388,0.11431237,12.0,0.028185024,0.055934273,0.023004303,0.0
2d-2e20.sym,omp_intermediate,1,12,2806989831.0,0.013149668,0.314269405,12.0,0.011966992,0.2012119,0.037846241,0.055748396
2d-2e20.sym,omp_intermediate,1,16,2806989831.0,0.013051604,0.31723192,12.0,0.012168196,0.201694246,0.040621505,0.056001383
2d-2e20.sym,omp_intermediate,1,20,2806989831.0,0.013620303,0.319632624,12.0,0.012238428,0.202384863,0.040775063,0.056562103
2d-2e20.sym,omp_intermediate,2,12,2806989831.0,0.013398019,0.18687601,12.0,0.010928426,0.111280032,0.027860822,0.029554017
2d-2e20.sym,omp_intermediate,2,16,2806989831.0,0.013132541,0.187736424,12.0,0.011929278,0.11082983,0.026736478,0.029852264
2d-2e20.sym,omp_intermediate,2,20,2806989831.0,0.013108668,0.190026604,12.0,0.011145282,0.114078215,0.026965639,0.030078003
2d-2e20.sym,omp_intermediate,4,12,2806989831.0,0.012839514,0.12502461,12.0,0.011016787,0.069414046,0.019478123,0.017134745
2d-2e20.sym,omp_intermediate,4,16,2806989831.0,0.013046537,0.118761628,12.0,0.010904682,0.065517631,0.017998894,0.016526978
2d-2e20.sym,omp_intermediate,4,20,2806989831.0,0.013037011,0.11961214,12.0,0.010605439,0.066465986,0.017152844,0.017032004
2d-2e20.sym,omp_intermediate,8,12,2806989831.0,0.013247418,0.093097039,12.0,0.009566324,0.047559671,0.015927626,0.01196401
2d-2e20.sym,omp_intermediate,8,16,2806989831.0,0.013398773,0.094398456,12.0,0.009581565,0.04875152,0.016104178,0.012191417
2d-2e20.sym,omp_intermediate,8,20,2806989831.0,0.013489572,0.093014401,12.0,0.008657272,0.048435009,0.015572232,0.012191443
2d-2e20.sym,omp_intermediate,12,12,2806989831.0,0.013624029,0.106168886,12.0,0.012324808,0.05156943,0.020799189,0.013022177
2d-2e20.sym,omp_intermediate,12,16,2806989831.0,0.013903214,0.105371465,12.0,0.011594554,0.052664802,0.020152266,0.013051421
2d-2e20.sym,omp_intermediate,12,20,2806989831.0,0.014459038,0.106138551,12.0,0.011185546,0.053063639,0.020325917,0.013185743
2d-2e20.sym,omp_intermediate,16,12,2806989831.0,0.013879367,0.109738701,12.0,0.012802086,0.05386632,0.02147207,0.013703236
2d-2e20.sym,omp_intermediate,16,16,2806989831.0,0.013760983,0.109517901,12.0,0.012830474,0.053814191,0.020829194,0.013954713
2d-2e20.sym,omp_intermediate,16,20,2806989831.0,0.014045776,0.108304932,12.0,0.011160446,0.053921333,0.0209278,0.01400206
2d-2e20.sym,serial_half,1,16,2806989831.0,0.013635816,0.257376519,0.0,0.0,0.0,0.0,0.0
