graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
USA-road-d.NY,omp_half,1,12,262559014.0,0.00263988,0.061225894,10.0,0.015961927,0.033525776,0.01017569,0.0
USA-road-d.NY,omp_half,1,16,262559014.0,0.00287629,0.061717132,10.0,0.015222907,0.033467574,0.010478315,0.0
USA-road-d.NY,omp_half,1,20,262559014.0,0.002488684,0.058557441,10.0,0.015054452,0.032134678,0.009666014,0.0
USA-road-d.NY,omp_half,2,12,262559014.0,0.002644283,0.038572233,10.0,0.014720637,0.015972052,0.005874054,0.0
USA-road-d.NY,omp_half,2,16,262559014.0,0.002665365,0.040728524,10.0,0.016423096,0.016569475,0.005851875,0.0
USA-road-d.NY,omp_half,2,20,262559014.0,0.00276913,0.039982151,10.0,0.014676343,0.016403742,0.006017224,0.0
USA-road-d.NY,omp_half,4,12,262559014.0,0.00275229,0.024496955,10.0,0.009115473,0.009037282,0.004086388,0.0
USA-road-d.NY,omp_half,4,16,262559014.0,0.002745037,0.024784672,10.0,0.009320534,0.009291808,0.004044526,0.0
USA-road-d.NY,omp_half,4,20,262559014.0,0.002846058,0.023453285,10.0,0.007654062,0.00962711,0.004235824,0.0
USA-road-d.NY,omp_half,8,12,262559014.0,0.002768709,0.017434356,10.0,0.006286542,0.005966743,0.002931762,0.0
USA-road-d.NY,omp_half,8,16,262559014.0,0.002817399,0.016776797,10.0,0.005591502,0.005931776,0.002966422,0.0
USA-road-d.NY,omp_half,8,20,262559014.0,0.00292405,0.0170066,10.0,0.005674593,0.006174329,0.002994961,0.0
USA-road-d.NY,omp_half,12,12,262559014.0,0.002724191,0.020227834,10.0,0.006585038,0.006863634,0.004156256,0.0
USA-road-d.NY,omp_half,12,16,262559014.0,0.002906641,0.019926221,10.0,0.006556444,0.006731252,0.004083942,0.0
USA-road-d.NY,omp_half,12,20,262559014.0,0.00287105,0.019667795,10.0,0.006475657,0.006802555,0.004265554,0.0
USA-road-d.NY,omp_half,16,12,262559014.0,0.00286044,0.019669745,10.0,0.006311199,0.006822162,0.004236878,0.0
USA-road-d.NY,omp_half,16,16,262559014.0,0.002741549,0.020569482,10.0,0.006560658,0.007038181,0.004785915,0.0
USA-road-d.NY,omp_half,16,20,262559014.0,0.002932743,0.021232444,10.0,0.006837091,0.007236371,0.004506989,0.0
USA-road-d.NY,omp_intermediate,1,12,262559014.0,0.00274361,0.055747228,10.0,0.002996591,0.034122639,0.008757392,0.007158678
USA-road-d.NY,omp_intermediate,1,16,262559014.0,0.002667314,0.05205047,10.0,0.002756302,0.032040401,0.008794729,0.006766475
USA-road-d.NY,omp_intermediate,1,20,262559014.0,0.002545075,0.051864336,10.0,0.002641916,0.031764998,0.008488712,0.006728675
USA-road-d.NY,omp_intermediate,2,12,262559014.0,0.002748858,0.031351227,10.0,0.002691183,0.016649237,0.006340645,0.00385717
USA-road-d.NY,omp_intermediate,2,16,262559014.0,0.00286631,0.033568022,10.0,0.003174412,0.017308103,0.007280278,0.003995606
USA-road-d.NY,omp_intermediate,2,20,262559014.0,0.002759192,0.032557029,10.0,0.002476802,0.01749713,0.005682804,0.003994082
USA-road-d.NY,omp_intermediate,4,12,262559014.0,0.002806091,0.020648366,10.0,0.002377816,0.008998249,0.004301593,0.002359154
USA-road-d.NY,omp_intermediate,4,16,262559014.0,0.002697682,0.019455407,10.0,0.00229182,0.009186839,0.003594901,0.002272873
USA-road-d.NY,omp_intermediate,4,20,262559014.0,0.00287535,0.020720646,10.0,0.002448667,0.010046746,0.003677041,0.002563436
USA-road-d.NY,omp_intermediate,8,12,262559014.0,0.002813419,0.015753084,10.0,0.002417779,0.006031724,0.002951681,0.001731314
USA-road-d.NY,omp_intermediate,8,16,262559014.0,0.003043287,0.015344599,10.0,0.002169689,0.00609471,0.002775527,0.001735863
USA-road-d.NY,omp_intermediate,8,20,262559014.0,0.002908734,0.015076736,10.0,0.002053284,0.005974034,0.00278642,0.001666001
USA-road-d.NY,omp_intermediate,12,12,262559014.0,0.002807813,0.018061064,10.0,0.002910917,0.006793745,0.004132872,0.002024796
USA-road-d.NY,omp_intermediate,12,16,262559014.0,0.002868789,0.017793834,10.0,0.00285626,0.006766608,0.003781469,0.00196259
USA-road-d.NY,omp_intermediate,12,20,262559014.0,0.002758989,0.01716425,10.0,0.002480774,0.006468805,0.003913797,0.001898952
USA-road-d.NY,omp_intermediate,16,12,262559014.0,0.003018779,0.017083667,10.0,0.002834782,0.006381242,0.003739125,0.002011493
USA-road-d.NY,omp_intermediate,16,16,262559014.0,0.002901382,0.017999222,10.0,0.002976758,0.006783954,0.003639669,0.00209992
USA-road-d.NY,omp_intermediate,16,20,262559014.0,0.00293972,0.018931061,10.0,0.002881106,0.007048833,0.00376367,0.002252293
USA-road-d.NY,serial_half,1,16,262559014.0,0.002674545,0.037723688,0.0,0.0,0.0,0.0,0.0
