graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
USA-road-d.USA,omp_half,1,12,60109136592.0,0.200152645,6.047444229,13.0,1.718120258,3.243436105,0.905179391,0.0
USA-road-d.USA,omp_half,1,16,60109136592.0,0.199029743,5.956938583,13.0,1.691804231,3.208885975,0.875723423,0.0
USA-road-d.USA,omp_half,1,20,60109136592.0,0.200194167,5.978724679,13.0,1.682266532,3.212591057,0.904362101,0.0
USA-road-d.USA,omp_half,2,12,60109136592.0,0.205898857,4.836807538,13.0,2.218657215,1.740354162,0.650737255,0.0
USA-road-d.USA,omp_half,2,16,60109136592.0,0.203741542,5.207741919,13.0,2.556407926,1.724499116,0.704603706,0.0
USA-road-d.USA,omp_half,2,20,60109136592.0,0.202155778,4.724620077,13.0,2.246025221,1.72560052,0.613344972,0.0
USA-road-d.USA,omp_half,4,12,60109136592.0,0.202664429,3.548596996,13.0,1.946701701,0.935832509,0.492874785,0.0
USA-road-d.USA,omp_half,4,16,60109136592.0,0.205802605,2.89289646,13.0,1.268582667,0.976566471,0.480983013,0.0
USA-road-d.USA,omp_half,4,20,60109136592.0,0.207894099,3.019964022,13.0,1.365504637,0.977295476,0.468031073,0.0
USA-road-d.USA,omp_half,8,12,60109136592.0,0.210723724,2.196034275,13.0,0.918045148,0.69527044,0.391476295,0.0
USA-road-d.USA,omp_half,8,16,60109136592.0,0.209722947,2.028440995,13.0,0.754256756,0.69660869,0.376360296,0.0
USA-road-d.USA,omp_half,8,20,60109136592.0,0.210743904,1.973630218,13.0,0.701919093,0.698687111,0.380526192,0.0
USA-road-d.USA,omp_half,12,12,60109136592.0,0.212053182,2.609837917,13.0,1.069008033,0.769984628,0.581552006,0.0
USA-road-d.USA,omp_half,12,16,60109136592.0,0.215702251,2.525910205,13.0,0.993729465,0.771224381,0.565575742,0.0
USA-road-d.USA,omp_half,12,20,60109136592.0,0.213585891,2.448698312,13.0,0.905566889,0.779880475,0.55857642,0.0
USA-road-d.USA,omp_half,16,12,60109136592.0,0.214373956,2.803968604,13.0,1.155539475,0.770545393,0.680578803,0.0
USA-road-d.USA,omp_half,16,16,60109136592.0,0.214478576,2.672362419,13.0,1.064504332,0.77509341,0.64890727,0.0
USA-road-d.USA,omp_half,16,20,60109136592.0,0.21297721,2.550915523,13.0,0.964122205,0.772401826,0.621166879,0.0
USA-road-d.USA,omp_intermediate,1,12,60109136592.0,0.198839461,5.196404081,13.0,0.365481698,3.174888458,0.762052215,0.715294469
USA-road-d.USA,omp_intermediate,1,16,60109136592.0,0.2012493,5.371195757,13.0,0.369857503,3.229940389,0.84854335,0.728929776
USA-road-d.USA,omp_intermediate,1,20,60109136592.0,0.199726585,5.399841962,13.0,0.37990861,3.254840776,0.854454642,0.746357766
USA-road-d.USA,omp_intermediate,2,12,60109136592.0,0.202467625,3.553769319,13.0,0.603622514,1.717546362,0.709046004,0.386178895
USA-road-d.USA,omp_intermediate,2,16,60109136592.0,0.2041566,3.698156152,13.0,0.76552123,1.70685129,0.709657076,0.388141758
USA-road-d.USA,omp_intermediate,2,20,60109136592.0,0.202167869,3.476477597,13.0,0.551157879,1.714611415,0.675696796,0.392712078
USA-road-d.USA,omp_intermediate,4,12,60109136592.0,0.206256399,2.192172675,13.0,0.379492224,0.950993024,0.458777837,0.221615272
USA-road-d.USA,omp_intermediate,4,16,60109136592.0,0.206844199,2.175976236,13.0,0.379975962,0.963810958,0.416224048,0.225947304
USA-road-d.USA,omp_intermediate,4,20,60109136592.0,0.211366761,2.1687761,13.0,0.373396967,0.9627413,0.417642826,0.226518753
USA-road-d.USA,omp_intermediate,8,12,60109136592.0,0.211764547,1.775213615,13.0,0.36161879,0.684548492,0.356934843,0.17916479
USA-road-d.USA,omp_intermediate,8,16,60109136592.0,0.210073124,1.76396385,13.0,0.363867588,0.686184662,0.347079355,0.178874591
USA-road-d.USA,omp_intermediate,8,20,60109136592.0,0.2127847,1.754882766,13.0,0.359320627,0.685937586,0.340194723,0.178096825
USA-road-d.USA,omp_intermediate,12,12,60109136592.0,0.212215078,2.503585511,13.0,0.811679621,0.749352902,0.545110071,0.188352118
USA-road-d.USA,omp_intermediate,12,16,60109136592.0,0.213754274,2.433592709,13.0,0.741565352,0.761149122,0.55184823,0.192394366
USA-road-d.USA,omp_intermediate,12,20,60109136592.0,0.214711313,2.316534933,13.0,0.660165567,0.75855618,0.521711929,0.190533093
USA-road-d.USA,omp_intermediate,16,12,60109136592.0,0.211208403,2.636963652,13.0,0.880489759,0.751407429,0.622034656,0.190767562
USA-road-d.USA,omp_intermediate,16,16,60109136592.0,0.213595899,2.523885178,13.0,0.785420988,0.753115163,0.602109727,0.190055501
USA-road-d.USA,omp_intermediate,16,20,60109136592.0,0.213170986,2.4320097,13.0,0.71343208,0.748398645,0.58077419,0.191741551
USA-road-d.USA,serial_half,1,16,60109136592.0,0.202109324,4.234994216,0.0,0.0,0.0,0.0,0.0
