graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
amazon0601,omp_half,1,12,3605992.0,0.009796366,0.25022701,7.0,0.017798598,0.209805805,0.019564948,0.0
amazon0601,omp_half,1,16,3605992.0,0.01039082,0.250164692,7.0,0.017521584,0.20942654,0.020252765,0.0
amazon0601,omp_half,1,20,3605992.0,0.010680729,0.247634425,7.0,0.016799024,0.206232717,0.020649041,0.0
amazon0601,omp_half,2,12,3605992.0,0.009776242,0.157174693,7.0,0.014672578,0.123250905,0.014263476,0.0
amazon0601,omp_half,2,16,3605992.0,0.010063527,0.157282345,7.0,0.015572641,0.124535331,0.015407061,0.0
amazon0601,omp_half,2,20,3605992.0,0.00942819,0.145232029,7.0,0.011654786,0.115491759,0.013885617,0.0
amazon0601,omp_half,4,12,3605992.0,0.009359408,0.08937649,7.0,0.008005362,0.070190282,0.008814572,0.0
amazon0601,omp_half,4,16,3605992.0,0.009850567,0.089859831,7.0,0.007905417,0.071102743,0.008280145,0.0
amazon0601,omp_half,4,20,3605992.0,0.008810427,0.087523666,7.0,0.007695304,0.069693929,0.007830208,0.0
amazon0601,omp_half,8,12,3605992.0,0.008435719,0.069081616,7.0,0.007687035,0.050355025,0.008131572,0.0
amazon0601,omp_half,8,16,3605992.0,0.008915367,0.068047394,7.0,0.00714537,0.050207584,0.007512494,0.0
amazon0601,omp_half,8,20,3605992.0,0.008678894,0.069134722,7.0,0.006807714,0.050361592,0.007366744,0.0
amazon0601,omp_half,12,12,3605992.0,0.008947973,0.066478018,7.0,0.0086248,0.043788662,0.008722254,0.0
amazon0601,omp_half,12,16,3605992.0,0.008806038,0.064626595,7.0,0.008783254,0.043838172,0.009159422,0.0
amazon0601,omp_half,12,20,3605992.0,0.00898395,0.066552052,7.0,0.008649347,0.044546321,0.008855157,0.0
amazon0601,omp_half,16,12,3605992.0,0.009265856,0.063808935,7.0,0.008660017,0.042907687,0.008808622,0.0
amazon0601,omp_half,16,16,3605992.0,0.009182615,0.06571994,7.0,0.008513705,0.045072212,0.008703216,0.0
amazon0601,omp_half,16,20,3605992.0,0.009175715,0.063614206,7.0,0.008258131,0.043427669,0.009118922,0.0
amazon0601,omp_intermediate,1,12,3605992.0,0.010443722,0.235704776,7.0,0.003847309,0.201151499,0.015715984,0.011586977
amazon0601,omp_intermediate,1,16,3605992.0,0.009886164,0.239334805,7.0,0.004262365,0.205184645,0.016005133,0.012108504
amazon0601,omp_intermediate,1,20,3605992.0,0.010065385,0.239475282,7.0,0.003851515,0.204245731,0.015933617,0.011874309
amazon0601,omp_intermediate,2,12,3605992.0,0.009494609,0.148470103,7.0,0.003692262,0.121256265,0.013484369,0.006454773
amazon0601,omp_intermediate,2,16,3605992.0,0.010210382,0.152072991,7.0,0.003683208,0.127140782,0.012268661,0.006950816
amazon0601,omp_intermediate,2,20,3605992.0,0.008288594,0.136946393,7.0,0.003173094,0.112927149,0.01104251,0.006384716
amazon0601,omp_intermediate,4,12,3605992.0,0.009094674,0.086756888,7.0,0.003342342,0.068879759,0.007754357,0.004181863
amazon0601,omp_intermediate,4,16,3605992.0,0.00877288,0.088070444,7.0,0.003235466,0.071820685,0.007198917,0.003899021
amazon0601,omp_intermediate,4,20,3605992.0,0.009485213,0.088978278,7.0,0.003099144,0.070972288,0.007068807,0.004195952
amazon0601,omp_intermediate,8,12,3605992.0,0.009077995,0.067286206,7.0,0.002760354,0.051198183,0.006834912,0.003020528
amazon0601,omp_intermediate,8,16,3605992.0,0.008880953,0.067203284,7.0,0.003136332,0.051246521,0.005915946,0.003016645
amazon0601,omp_intermediate,8,20,3605992.0,0.008890919,0.066941973,7.0,0.002510858,0.051125376,0.006821118,0.003053634
amazon0601,omp_intermediate,12,12,3605992.0,0.009139366,0.062529436,7.0,0.003344415,0.043554892,0.008087632,0.003401231
amazon0601,omp_intermediate,12,16,3605992.0,0.008812073,0.063904992,7.0,0.003448786,0.045450107,0.007587079,0.00336747
amazon0601,omp_intermediate,12,20,3605992.0,0.00907558,0.063014601,7.0,0.003067936,0.045637145,0.007330028,0.003452255
amazon0601,omp_intermediate,16,12,3605992.0,0.009266154,0.063853399,7.0,0.003957523,0.044705795,0.007585052,0.003670042
amazon0601,omp_intermediate,16,16,3605992.0,0.009142427,0.063973078,7.0,0.004221185,0.045134663,0.00789504,0.00407912
amazon0601,omp_intermediate,16,20,3605992.0,0.009069135,0.060897887,7.0,0.003974281,0.042529063,0.006901425,0.003569431
amazon0601,serial_half,1,16,3605992.0,0.010523425,0.191832822,0.0,0.0,0.0,0.0,0.0
