graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
as-skitter,omp_half,1,12,22844623.0,0.035938766,0.691732202,6.0,0.056152881,0.577872524,0.04443859,0.0
as-skitter,omp_half,1,16,22844623.0,0.035886673,0.674889761,6.0,0.054905177,0.562995884,0.043368397,0.0
as-skitter,omp_half,1,20,22844623.0,0.035535505,0.660347539,6.0,0.053049144,0.55141501,0.042989721,0.0
as-skitter,omp_half,2,12,22844623.0,0.036310307,0.525486335,6.0,0.063979001,0.403051202,0.03816796,0.0
as-skitter,omp_half,2,16,22844623.0,0.03525278,0.523847848,6.0,0.065773108,0.415586463,0.037101227,0.0
as-skitter,omp_half,2,20,22844623.0,0.036118199,0.493185581,6.0,0.034680035,0.407423223,0.034367197,0.0
as-skitter,omp_half,4,12,22844623.0,0.03533914,0.343570428,6.0,0.045210634,0.262481433,0.023254146,0.0
as-skitter,omp_half,4,16,22844623.0,0.036787184,0.335847437,6.0,0.028859105,0.271993362,0.020273614,0.0
as-skitter,omp_half,4,20,22844623.0,0.036413224,0.333303467,6.0,0.02865479,0.27035093,0.019282975,0.0
as-skitter,omp_half,8,12,22844623.0,0.036180085,0.242135659,6.0,0.021368243,0.190242513,0.016650127,0.0
as-skitter,omp_half,8,16,22844623.0,0.037090313,0.242352736,6.0,0.019960827,0.191666641,0.016418322,0.0
as-skitter,omp_half,8,20,22844623.0,0.036798905,0.242909331,6.0,0.019267018,0.193523783,0.016183651,0.0
as-skitter,omp_half,12,12,22844623.0,0.03718019,0.22971166,6.0,0.027896214,0.164027932,0.020522524,0.0
as-skitter,omp_half,12,16,22844623.0,0.036802555,0.219388789,6.0,0.025546969,0.159192731,0.020973088,0.0
as-skitter,omp_half,12,20,22844623.0,0.037596151,0.227832476,6.0,0.024547986,0.172327468,0.020524607,0.0
as-skitter,omp_half,16,12,22844623.0,0.035975898,0.225007071,6.0,0.029344647,0.160751865,0.022735449,0.0
as-skitter,omp_half,16,16,22844623.0,0.03732052,0.225609011,6.0,0.026798123,0.163670484,0.022247151,0.0
as-skitter,omp_half,16,20,22844623.0,0.037448913,0.229705546,6.0,0.026296165,0.166531128,0.022418901,0.0
as-skitter,omp_intermediate,1,12,22844623.0,0.036628703,0.671250596,6.0,0.012085072,0.578155379,0.032902007,0.035560268
as-skitter,omp_intermediate,1,16,22844623.0,0.035055379,0.651978397,6.0,0.011784976,0.558749453,0.034108675,0.034653712
as-skitter,omp_intermediate,1,20,22844623.0,0.035379927,0.639734079,6.0,0.011774899,0.547495046,0.033656537,0.033943667
as-skitter,omp_intermediate,2,12,22844623.0,0.036190879,0.487765842,6.0,0.015779672,0.407304676,0.034552889,0.019492642
as-skitter,omp_intermediate,2,16,22844623.0,0.035626756,0.496592274,6.0,0.015477606,0.415526529,0.031216756,0.019848218
as-skitter,omp_intermediate,2,20,22844623.0,0.035003231,0.485608378,6.0,0.0135975,0.411660479,0.029595577,0.019516805
as-skitter,omp_intermediate,4,12,22844623.0,0.034890191,0.329074169,6.0,0.011689052,0.27450706,0.017888298,0.011217327
as-skitter,omp_intermediate,4,16,22844623.0,0.03471027,0.330835385,6.0,0.011514772,0.277131133,0.016375539,0.011330033
as-skitter,omp_intermediate,4,20,22844623.0,0.035930886,0.32605506,6.0,0.011186069,0.273557146,0.016556041,0.011177269
as-skitter,omp_intermediate,8,12,22844623.0,0.036828866,0.240726281,6.0,0.00995533,0.194522946,0.014161045,0.007641835
as-skitter,omp_intermediate,8,16,22844623.0,0.036863506,0.240695778,6.0,0.010617413,0.194231045,0.014108091,0.007717747
as-skitter,omp_intermediate,8,20,22844623.0,0.036976864,0.240325682,6.0,0.009781536,0.194665454,0.0138729,0.00751155
as-skitter,omp_intermediate,12,12,22844623.0,0.036478217,0.223528658,6.0,0.018489388,0.162883974,0.018162229,0.008379167
as-skitter,omp_intermediate,12,16,22844623.0,0.036684921,0.222970059,6.0,0.01729751,0.166371992,0.018486332,0.008182779
as-skitter,omp_intermediate,12,20,22844623.0,0.037276652,0.222822003,6.0,0.015366454,0.165707901,0.018208885,0.00832477
as-skitter,omp_intermediate,16,12,22844623.0,0.037562534,0.225692997,6.0,0.019864261,0.163510306,0.019335753,0.008886457
as-skitter,omp_intermediate,16,16,22844623.0,0.037322402,0.221371695,6.0,0.018235932,0.159677078,0.019092288,0.008713356
as-skitter,omp_intermediate,16,20,22844623.0,0.036586208,0.224416959,6.0,0.016436789,0.166584079,0.018611809,0.008856793
as-skitter,serial_half,1,16,22844623.0,0.036227539,0.495750296,0.0,0.0,0.0,0.0,0.0
