graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
cit-Patents,omp_half,1,12,51632463.0,0.056038183,2.622859204,7.0,0.188110234,2.196044256,0.203945036,0.0
cit-Patents,omp_half,1,16,51632463.0,0.059302807,2.351857491,7.0,0.171120103,1.968435493,0.179953063,0.0
cit-Patents,omp_half,1,20,51632463.0,0.060155761,2.360324115,7.0,0.173873071,1.97381373,0.184068038,0.0
cit-Patents,omp_half,2,12,51632463.0,0.059568971,1.328455223,7.0,0.167016806,1.005943649,0.112522004,0.0
cit-Patents,omp_half,2,16,51632463.0,0.058312603,1.352554885,7.0,0.186083614,1.024089731,0.109581243,0.0
cit-Patents,omp_half,2,20,51632463.0,0.059803842,1.324597434,7.0,0.16052876,1.021759113,0.110066212,0.0
cit-Patents,omp_half,4,12,51632463.0,0.060382594,0.805430897,7.0,0.15832536,0.546028531,0.067992122,0.0
cit-Patents,omp_half,4,16,51632463.0,0.060469304,0.767101262,7.0,0.11158421,0.556595249,0.06475006,0.0
cit-Patents,omp_half,4,20,51632463.0,0.060809502,0.782133294,7.0,0.117733412,0.561824901,0.066980767,0.0
cit-Patents,omp_half,8,12,51632463.0,0.061405078,0.58855226,7.0,0.078052965,0.420536835,0.055373267,0.0
cit-Patents,omp_half,8,16,51632463.0,0.062384908,0.58068505,7.0,0.068503949,0.422260919,0.055909183,0.0
cit-Patents,omp_half,8,20,51632463.0,0.062291174,0.583088384,7.0,0.066270676,0.422554011,0.055663313,0.0
cit-Patents,omp_half,12,12,51632463.0,0.060481186,0.640253749,7.0,0.088499646,0.441184416,0.074896759,0.0
cit-Patents,omp_half,12,16,51632463.0,0.062112726,0.626121896,7.0,0.080042008,0.439343763,0.07253017,0.0
cit-Patents,omp_half,12,20,51632463.0,0.061046478,0.623071673,7.0,0.077004262,0.4350187,0.074727524,0.0
cit-Patents,omp_half,16,12,51632463.0,0.062901812,0.638624454,7.0,0.087483857,0.437753095,0.07815199,0.0
cit-Patents,omp_half,16,16,51632463.0,0.061966144,0.632023478,7.0,0.081450733,0.438667234,0.077319177,0.0
cit-Patents,omp_half,16,20,51632463.0,0.060682236,0.630542624,7.0,0.077316468,0.444752224,0.075361203,0.0
cit-Patents,omp_intermediate,1,12,51632463.0,0.062054333,2.581171382,7.0,0.034028674,2.253225283,0.153689348,0.11080499
cit-Patents,omp_intermediate,1,16,51632463.0,0.059965606,2.478292722,7.0,0.033128428,2.16090062,0.146117503,0.109620162
cit-Patents,omp_intermediate,1,20,51632463.0,0.059571902,2.263432679,7.0,0.031921787,1.956352244,0.140801883,0.10567375
cit-Patents,omp_intermediate,2,12,51632463.0,0.058854937,1.260733271,7.0,0.041647924,1.031116343,0.094692464,0.059025012
cit-Patents,omp_intermediate,2,16,51632463.0,0.059280306,1.261717317,7.0,0.051442681,1.024792153,0.093569406,0.059243046
cit-Patents,omp_intermediate,2,20,51632463.0,0.059349978,1.265710707,7.0,0.043732179,1.042364995,0.088986687,0.059792687
cit-Patents,omp_intermediate,4,12,51632463.0,0.05952119,0.716358231,7.0,0.033000568,0.558349547,0.056448512,0.034194094
cit-Patents,omp_intermediate,4,16,51632463.0,0.061396979,0.719049256,7.0,0.033647984,0.564805262,0.052950651,0.035152392
cit-Patents,omp_intermediate,4,20,51632463.0,0.061166276,0.722732557,7.0,0.032265564,0.569759937,0.052716396,0.035199346
cit-Patents,omp_intermediate,8,12,51632463.0,0.06251398,0.562384578,7.0,0.030541782,0.426398091,0.047174429,0.024820246
cit-Patents,omp_intermediate,8,16,51632463.0,0.062122079,0.565468888,7.0,0.030354765,0.430054064,0.04510064,0.024951946
cit-Patents,omp_intermediate,8,20,51632463.0,0.061971987,0.564785174,7.0,0.030180401,0.429516297,0.044875519,0.025167345
cit-Patents,omp_intermediate,12,12,51632463.0,0.062578875,0.622390089,7.0,0.058968454,0.438695985,0.065573146,0.026959952
cit-Patents,omp_intermediate,12,16,51632463.0,0.061742467,0.629010558,7.0,0.055155917,0.442910397,0.066510938,0.027317088
cit-Patents,omp_intermediate,12,20,51632463.0,0.061435461,0.621061927,7.0,0.049523822,0.444987913,0.065114824,0.027738578
cit-Patents,omp_intermediate,16,12,51632463.0,0.062299732,0.633702912,7.0,0.06420245,0.440988939,0.068274086,0.027842934
cit-Patents,omp_intermediate,16,16,51632463.0,0.061773847,0.632248878,7.0,0.060396393,0.444284462,0.067881663,0.028333175
cit-Patents,omp_intermediate,16,20,51632463.0,0.062183719,0.634963387,7.0,0.056562402,0.444394005,0.067023017,0.028466719
cit-Patents,serial_half,1,16,51632463.0,0.062749756,2.270956879,0.0,0.0,0.0,0.0,0.0
