graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
citationCiteseer,omp_half,1,12,3771433.0,0.003787519,0.09591599,6.0,0.007771366,0.077331568,0.009275527,0.0
citationCiteseer,omp_half,1,16,3771433.0,0.0037848,0.095754093,6.0,0.007671075,0.077223567,0.009209025,0.0
citationCiteseer,omp_half,1,20,3771433.0,0.003711155,0.09485499,6.0,0.007447247,0.076343059,0.009410138,0.0
citationCiteseer,omp_half,2,12,3771433.0,0.003643901,0.058936802,6.0,0.008595372,0.041947755,0.007263591,0.0
citationCiteseer,omp_half,2,16,3771433.0,0.003915162,0.06023616,6.0,0.007247883,0.042872624,0.007637536,0.0
citationCiteseer,omp_half,2,20,3771433.0,0.003732375,0.058442982,6.0,0.005953918,0.044070296,0.007135459,0.0
citationCiteseer,omp_half,4,12,3771433.0,0.004334239,0.035993413,6.0,0.004598612,0.02509518,0.004681688,0.0
citationCiteseer,omp_half,4,16,3771433.0,0.004347897,0.037105504,6.0,0.004706734,0.025679113,0.004669157,0.0
citationCiteseer,omp_half,4,20,3771433.0,0.004170252,0.036694043,6.0,0.004657671,0.02533233,0.004637381,0.0
citationCiteseer,omp_half,8,12,3771433.0,0.004015591,0.0264441,6.0,0.003991524,0.016583056,0.00379369,0.0
citationCiteseer,omp_half,8,16,3771433.0,0.004217985,0.026250041,6.0,0.003588019,0.016855979,0.003588025,0.0
citationCiteseer,omp_half,8,20,3771433.0,0.004239238,0.026773383,6.0,0.003871884,0.016774899,0.003702481,0.0
citationCiteseer,omp_half,12,12,3771433.0,0.004163782,0.026888129,6.0,0.004390367,0.01624027,0.004397997,0.0
citationCiteseer,omp_half,12,16,3771433.0,0.004317971,0.026003288,6.0,0.004117136,0.016099028,0.004531323,0.0
citationCiteseer,omp_half,12,20,3771433.0,0.004343675,0.026351914,6.0,0.003986411,0.015914665,0.003995358,0.0
citationCiteseer,omp_half,16,12,3771433.0,0.004319551,0.027522166,6.0,0.00451093,0.017049341,0.004057564,0.0
citationCiteseer,omp_half,16,16,3771433.0,0.004272097,0.027894966,6.0,0.004717369,0.016970526,0.004790303,0.0
citationCiteseer,omp_half,16,20,3771433.0,0.004321455,0.028127716,6.0,0.004361661,0.016570397,0.003953746,0.0
citationCiteseer,omp_intermediate,1,12,3771433.0,0.003780565,0.093526399,6.0,0.001698175,0.077885081,0.007295312,0.005220406
citationCiteseer,omp_intermediate,1,16,3771433.0,0.003733415,0.093697073,6.0,0.001698871,0.077741968,0.007554246,0.005052314
citationCiteseer,omp_intermediate,1,20,3771433.0,0.003774914,0.095399874,6.0,0.001820624,0.079221652,0.007408081,0.005128214
citationCiteseer,omp_intermediate,2,12,3771433.0,0.00378097,0.055593181,6.0,0.001987175,0.042316663,0.006447957,0.002960129
citationCiteseer,omp_intermediate,2,16,3771433.0,0.003926566,0.05625539,6.0,0.001777289,0.0424946,0.006682264,0.003032753
citationCiteseer,omp_intermediate,2,20,3771433.0,0.0039459,0.058624337,6.0,0.001833593,0.045331515,0.006075951,0.003240858
citationCiteseer,omp_intermediate,4,12,3771433.0,0.004193697,0.035069514,6.0,0.001757799,0.025195274,0.004116856,0.002059655
citationCiteseer,omp_intermediate,4,16,3771433.0,0.003947815,0.035460356,6.0,0.001800118,0.02576455,0.00395877,0.002002791
citationCiteseer,omp_intermediate,4,20,3771433.0,0.004138278,0.035050931,6.0,0.001799889,0.02559376,0.003713876,0.002034741
citationCiteseer,omp_intermediate,8,12,3771433.0,0.004222114,0.024707164,6.0,0.001555713,0.017029364,0.003030842,0.001388299
citationCiteseer,omp_intermediate,8,16,3771433.0,0.004274846,0.024458439,6.0,0.001330312,0.016964629,0.002979524,0.001400805
citationCiteseer,omp_intermediate,8,20,3771433.0,0.004195883,0.024922807,6.0,0.00140717,0.016955714,0.002769273,0.001429222
citationCiteseer,omp_intermediate,12,12,3771433.0,0.004251468,0.027188698,6.0,0.001797719,0.016773576,0.003653677,0.001591747
citationCiteseer,omp_intermediate,12,16,3771433.0,0.004552851,0.026064432,6.0,0.001711052,0.016980798,0.003774261,0.00153379
citationCiteseer,omp_intermediate,12,20,3771433.0,0.004259495,0.025207425,6.0,0.001770726,0.016509788,0.003692816,0.001572994
citationCiteseer,omp_intermediate,16,12,3771433.0,0.004587428,0.027535614,6.0,0.001833421,0.016908132,0.003611128,0.001681647
citationCiteseer,omp_intermediate,16,16,3771433.0,0.004413618,0.027726852,6.0,0.001835923,0.017078816,0.0038966,0.001921021
citationCiteseer,omp_intermediate,16,20,3771433.0,0.004367831,0.026530507,6.0,0.001683639,0.016820522,0.003448896,0.001580846
citationCiteseer,serial_half,1,16,3771433.0,0.003758446,0.07152865,0.0,0.0,0.0,0.0,0.0
