graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
coPapersDBLP,omp_half,1,12,3358201.0,0.047548331,0.661792873,7.0,0.02248855,0.612132136,0.022969603,0.0
coPapersDBLP,omp_half,1,16,3358201.0,0.045856603,0.627458983,7.0,0.020858024,0.580647735,0.022062887,0.0
coPapersDBLP,omp_half,1,20,3358201.0,0.046953065,0.619313709,7.0,0.020207684,0.572914346,0.02203133,0.0
coPapersDBLP,omp_half,2,12,3358201.0,0.045225135,0.452048144,7.0,0.018240809,0.411829997,0.016971012,0.0
coPapersDBLP,omp_half,2,16,3358201.0,0.045367302,0.452862277,7.0,0.016791311,0.41078116,0.016442451,0.0
coPapersDBLP,omp_half,2,20,3358201.0,0.045688164,0.450674632,7.0,0.012545756,0.41467584,0.015516112,0.0
coPapersDBLP,omp_half,4,12,3358201.0,0.046500148,0.280637115,7.0,0.015716478,0.254195741,0.009589232,0.0
coPapersDBLP,omp_half,4,16,3358201.0,0.046951765,0.279799639,7.0,0.010419232,0.255945087,0.00912171,0.0
coPapersDBLP,omp_half,4,20,3358201.0,0.047195535,0.279705558,7.0,0.010688815,0.25730432,0.008849904,0.0
coPapersDBLP,omp_half,8,12,3358201.0,0.046170211,0.199334243,7.0,0.009038099,0.176458578,0.007718022,0.0
coPapersDBLP,omp_half,8,16,3358201.0,0.047410499,0.200526239,7.0,0.007900246,0.17872059,0.007668967,0.0
coPapersDBLP,omp_half,8,20,3358201.0,0.04713934,0.201198793,7.0,0.007954878,0.181676349,0.007406885,0.0
coPapersDBLP,omp_half,12,12,3358201.0,0.047155468,0.177569542,7.0,0.010603226,0.152791495,0.010228901,0.0
coPapersDBLP,omp_half,12,16,3358201.0,0.047934561,0.173717411,7.0,0.008868984,0.149815987,0.009986983,0.0
coPapersDBLP,omp_half,12,20,3358201.0,0.048165828,0.176365181,7.0,0.008884129,0.153817595,0.010021628,0.0
coPapersDBLP,omp_half,16,12,3358201.0,0.04748642,0.175200354,7.0,0.00996752,0.149605288,0.010204798,0.0
coPapersDBLP,omp_half,16,16,3358201.0,0.047731308,0.177080364,7.0,0.009831627,0.152791542,0.010251022,0.0
coPapersDBLP,omp_half,16,20,3358201.0,0.047467208,0.176850921,7.0,0.009755463,0.151432619,0.009998069,0.0
coPapersDBLP,omp_intermediate,1,12,3358201.0,0.046861979,0.649215134,7.0,0.003823994,0.610888501,0.017030561,0.013467273
coPapersDBLP,omp_intermediate,1,16,3358201.0,0.047235887,0.645633166,7.0,0.003839728,0.606224985,0.017804972,0.013475695
coPapersDBLP,omp_intermediate,1,20,3358201.0,0.046393296,0.619278114,7.0,0.003696408,0.580878508,0.017701583,0.012866734
coPapersDBLP,omp_intermediate,2,12,3358201.0,0.045934495,0.459879111,7.0,0.004116717,0.430347813,0.013867217,0.007728771
coPapersDBLP,omp_intermediate,2,16,3358201.0,0.046035591,0.456205148,7.0,0.004186882,0.427688972,0.013456556,0.007549266
coPapersDBLP,omp_intermediate,2,20,3358201.0,0.047006169,0.450236417,7.0,0.003864828,0.422814473,0.012651994,0.007501067
coPapersDBLP,omp_intermediate,4,12,3358201.0,0.047826056,0.280955334,7.0,0.003856341,0.259986654,0.008078312,0.00426015
coPapersDBLP,omp_intermediate,4,16,3358201.0,0.046879921,0.283451094,7.0,0.00385607,0.262584711,0.007490673,0.004244047
coPapersDBLP,omp_intermediate,4,20,3358201.0,0.046726455,0.282389545,7.0,0.003820433,0.262093494,0.007212879,0.004299071
coPapersDBLP,omp_intermediate,8,12,3358201.0,0.047158135,0.201188579,7.0,0.003017543,0.183536144,0.006755808,0.003063536
coPapersDBLP,omp_intermediate,8,16,3358201.0,0.046858694,0.200847071,7.0,0.00300848,0.183782342,0.006655991,0.003171245
coPapersDBLP,omp_intermediate,8,20,3358201.0,0.047218992,0.203036905,7.0,0.002789485,0.185750944,0.006896235,0.003158612
coPapersDBLP,omp_intermediate,12,12,3358201.0,0.047365705,0.176242314,7.0,0.003886245,0.15465064,0.008579392,0.003943844
coPapersDBLP,omp_intermediate,12,16,3358201.0,0.048289067,0.178294066,7.0,0.003759426,0.157321719,0.008245347,0.003707423
coPapersDBLP,omp_intermediate,12,20,3358201.0,0.047599503,0.179260722,7.0,0.003488409,0.159449437,0.008891495,0.003719438
coPapersDBLP,omp_intermediate,16,12,3358201.0,0.047693925,0.174110604,7.0,0.003973879,0.153740861,0.009115804,0.003849914
coPapersDBLP,omp_intermediate,16,16,3358201.0,0.048077416,0.172764733,7.0,0.004113313,0.151642011,0.008669746,0.004065043
coPapersDBLP,omp_intermediate,16,20,3358201.0,0.04736405,0.173996573,7.0,0.003727977,0.152643517,0.008897301,0.00396988
coPapersDBLP,serial_half,1,16,3358201.0,0.046659952,0.464342945,0.0,0.0,0.0,0.0,0.0
