graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
europe_osm,omp_half,1,12,1100645185.0,0.226524255,12.236030805,13.0,3.717724586,6.150442283,2.007152071,0.0
europe_osm,omp_half,1,16,1100645185.0,0.22319109,11.904055095,13.0,3.600853113,6.030946737,1.927328258,0.0
europe_osm,omp_half,1,20,1100645185.0,0.223696111,11.933400427,13.0,3.580923482,6.042366953,1.965784836,0.0
europe_osm,omp_half,2,12,1100645185.0,0.230528018,11.733062868,13.0,6.416419829,3.465962467,1.605492126,0.0
europe_osm,omp_half,2,16,1100645185.0,0.226965262,10.737172888,13.0,5.549919057,3.318954546,1.568058745,0.0
europe_osm,omp_half,2,20,1100645185.0,0.227121388,10.256224473,13.0,5.162262756,3.299604019,1.461473205,0.0
europe_osm,omp_half,4,12,1100645185.0,0.229670328,7.508915998,13.0,4.172557114,1.942567216,1.028951215,0.0
europe_osm,omp_half,4,16,1100645185.0,0.241662386,6.02701898,13.0,2.728807954,1.983776223,0.936533132,0.0
europe_osm,omp_half,4,20,1100645185.0,0.24013334,6.211635817,13.0,2.926455731,1.979156983,0.920821973,0.0
europe_osm,omp_half,8,12,1100645185.0,0.235860506,4.785087975,13.0,1.954108789,1.638988205,0.794198354,0.0
europe_osm,omp_half,8,16,1100645185.0,0.235881572,4.504102569,13.0,1.74613959,1.634168893,0.757911288,0.0
europe_osm,omp_half,8,20,1100645185.0,0.240444258,4.373525908,13.0,1.597524199,1.634412739,0.746415845,0.0
europe_osm,omp_half,12,12,1100645185.0,0.241104569,5.737559459,13.0,2.464455695,1.736077139,1.157931194,0.0
europe_osm,omp_half,12,16,1100645185.0,0.242836109,5.489625005,13.0,2.234287619,1.736085511,1.129188483,0.0
europe_osm,omp_half,12,20,1100645185.0,0.24011055,5.296588898,13.0,2.046663501,1.740073001,1.104206529,0.0
europe_osm,omp_half,16,12,1100645185.0,0.23845449,6.117791724,13.0,2.683793214,1.730515251,1.338729714,0.0
europe_osm,omp_half,16,16,1100645185.0,0.242962438,5.832423296,13.0,2.435347376,1.720105261,1.296636988,0.0
europe_osm,omp_half,16,20,1100645185.0,0.240659981,5.562608806,13.0,2.203680962,1.720698724,1.23364519,0.0
europe_osm,omp_intermediate,1,12,1100645185.0,0.223529653,10.296409666,13.0,0.771091008,5.907534273,1.711297265,1.546410262
europe_osm,omp_intermediate,1,16,1100645185.0,0.223807875,10.365062705,13.0,0.763887955,5.877836674,1.836184781,1.536835889
europe_osm,omp_intermediate,1,20,1100645185.0,0.224073109,10.388137214,13.0,0.769303159,5.917441461,1.804799602,1.534273995
europe_osm,omp_intermediate,2,12,1100645185.0,0.22596109,7.335173548,13.0,1.409993884,3.235238554,1.486320666,0.85234653
europe_osm,omp_intermediate,2,16,1100645185.0,0.225934517,7.684458283,13.0,1.838495098,3.22315538,1.472300519,0.846102699
europe_osm,omp_intermediate,2,20,1100645185.0,0.228929754,7.005522179,13.0,1.173776402,3.252764178,1.351756895,0.863263669
europe_osm,omp_intermediate,4,12,1100645185.0,0.231200177,4.541782142,13.0,0.795881106,1.926515509,0.950214183,0.486848166
europe_osm,omp_intermediate,4,16,1100645185.0,0.242352856,4.44701727,13.0,0.787377843,1.938420594,0.839188011,0.496000883
europe_osm,omp_intermediate,4,20,1100645185.0,0.235777315,4.434868272,13.0,0.784548827,1.943001698,0.831603065,0.496227666
europe_osm,omp_intermediate,8,12,1100645185.0,0.239432262,3.838947481,13.0,0.748064072,1.57445807,0.714324339,0.409900361
europe_osm,omp_intermediate,8,16,1100645185.0,0.235872511,3.803126405,13.0,0.746313496,1.57626571,0.676471787,0.41056558
europe_osm,omp_intermediate,8,20,1100645185.0,0.238175181,3.831932412,13.0,0.748406154,1.580371099,0.69798453,0.408242384
europe_osm,omp_intermediate,12,12,1100645185.0,0.239032165,5.311226164,13.0,1.761284238,1.657634212,1.079713865,0.4304813
europe_osm,omp_intermediate,12,16,1100645185.0,0.239980627,5.131220622,13.0,1.569564347,1.673072341,1.054180962,0.432864454
europe_osm,omp_intermediate,12,20,1100645185.0,0.239238816,4.883259324,13.0,1.391225341,1.66751721,1.002466239,0.427694661
europe_osm,omp_intermediate,16,12,1100645185.0,0.239795171,5.603711306,13.0,1.914387639,1.650800467,1.215915936,0.432204429
europe_osm,omp_intermediate,16,16,1100645185.0,0.241360199,5.322664975,13.0,1.687426116,1.641496041,1.173855648,0.429848801
europe_osm,omp_intermediate,16,20,1100645185.0,0.236421776,5.166931318,13.0,1.548813833,1.656791205,1.119173142,0.434915217
europe_osm,serial_half,1,16,1100645185.0,0.226470332,8.008918613,0.0,0.0,0.0,0.0,0.0
