graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
in-2004,omp_half,1,12,17517748.0,0.043293718,0.560928272,8.0,0.06025459,0.453512922,0.03634196,0.0
in-2004,omp_half,1,16,17517748.0,0.043167239,0.535762168,8.0,0.057262468,0.43310242,0.034598047,0.0
in-2004,omp_half,1,20,17517748.0,0.04302563,0.509199939,8.0,0.05307047,0.411794714,0.033798023,0.0
in-2004,omp_half,2,12,17517748.0,0.042652653,0.314619918,8.0,0.050325491,0.216421494,0.031572967,0.0
in-2004,omp_half,2,16,17517748.0,0.042899313,0.314921093,8.0,0.052593688,0.21698401,0.036134055,0.0
in-2004,omp_half,2,20,17517748.0,0.04260456,0.32208264,8.0,0.057343249,0.2192608,0.034500403,0.0
in-2004,omp_half,4,12,17517748.0,0.043116193,0.187370246,8.0,0.030505058,0.126090806,0.019887734,0.0
in-2004,omp_half,4,16,17517748.0,0.043658323,0.187812528,8.0,0.026341878,0.129565044,0.018409015,0.0
in-2004,omp_half,4,20,17517748.0,0.043612871,0.189467706,8.0,0.025770469,0.131257569,0.017441516,0.0
in-2004,omp_half,8,12,17517748.0,0.045216032,0.155755313,8.0,0.022139915,0.103949077,0.017108061,0.0
in-2004,omp_half,8,16,17517748.0,0.045034864,0.153262125,8.0,0.021090755,0.104509441,0.015030355,0.0
in-2004,omp_half,8,20,17517748.0,0.044429828,0.153426295,8.0,0.020151895,0.104705418,0.015073517,0.0
in-2004,omp_half,12,12,17517748.0,0.04498256,0.165441214,8.0,0.027725629,0.10361588,0.021763655,0.0
in-2004,omp_half,12,16,17517748.0,0.045167023,0.161005646,8.0,0.025078669,0.10415401,0.018924213,0.0
in-2004,omp_half,12,20,17517748.0,0.044271624,0.157355702,8.0,0.024006196,0.102051059,0.018285892,0.0
in-2004,omp_half,16,12,17517748.0,0.044721279,0.16355561,8.0,0.026173889,0.105023997,0.02027501,0.0
in-2004,omp_half,16,16,17517748.0,0.044295194,0.160594057,8.0,0.026362223,0.102868393,0.019741462,0.0
in-2004,omp_half,16,20,17517748.0,0.044128185,0.158236478,8.0,0.02389104,0.101599513,0.019709558,0.0
in-2004,omp_intermediate,1,12,17517748.0,0.043507079,0.542290752,8.0,0.013286784,0.463126094,0.030581502,0.024306868
in-2004,omp_intermediate,1,16,17517748.0,0.042286244,0.529367868,8.0,0.013052786,0.448926548,0.032083886,0.023648274
in-2004,omp_intermediate,1,20,17517748.0,0.042841934,0.516476468,8.0,0.01275552,0.43930821,0.031121321,0.022915523
in-2004,omp_intermediate,2,12,17517748.0,0.042792125,0.291376717,8.0,0.01255656,0.224608678,0.032228946,0.012876896
in-2004,omp_intermediate,2,16,17517748.0,0.043030871,0.295196159,8.0,0.013440848,0.228225606,0.030630317,0.013055487
in-2004,omp_intermediate,2,20,17517748.0,0.042626187,0.290146529,8.0,0.012507179,0.228376078,0.028761158,0.012943632
in-2004,omp_intermediate,4,12,17517748.0,0.042123309,0.183201419,8.0,0.011034636,0.135306806,0.016204179,0.007304528
in-2004,omp_intermediate,4,16,17517748.0,0.044495205,0.179664306,8.0,0.010750575,0.1347609,0.014575982,0.007285284
in-2004,omp_intermediate,4,20,17517748.0,0.044380268,0.179271432,8.0,0.010441832,0.135474483,0.014956399,0.007175966
in-2004,omp_intermediate,8,12,17517748.0,0.044675087,0.151367544,8.0,0.010154822,0.10898116,0.014551601,0.005654327
in-2004,omp_intermediate,8,16,17517748.0,0.044985085,0.151845001,8.0,0.009539133,0.109937141,0.013318143,0.005653294
in-2004,omp_intermediate,8,20,17517748.0,0.044803072,0.151532628,8.0,0.009009993,0.110962803,0.013268284,0.005677166
in-2004,omp_intermediate,12,12,17517748.0,0.044893718,0.159389893,8.0,0.015823899,0.108361139,0.017534336,0.006435881
in-2004,omp_intermediate,12,16,17517748.0,0.044716519,0.159155303,8.0,0.014898265,0.107020421,0.017866559,0.006416368
in-2004,omp_intermediate,12,20,17517748.0,0.044159349,0.158695957,8.0,0.013230125,0.107936655,0.017775361,0.006489468
in-2004,omp_intermediate,16,12,17517748.0,0.044525958,0.160008781,8.0,0.016450869,0.107096309,0.018718064,0.006673851
in-2004,omp_intermediate,16,16,17517748.0,0.043788614,0.163208631,8.0,0.015325576,0.108780265,0.018624046,0.006757935
in-2004,omp_intermediate,16,20,17517748.0,0.044815668,0.160811392,8.0,0.014064222,0.109572243,0.01819264,0.006680611
in-2004,serial_half,1,16,17517748.0,0.045124288,0.37697604,0.0,0.0,0.0,0.0,0.0
