graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
internet,omp_half,1,12,951569.0,0.001372241,0.020221785,6.0,0.003822957,0.011887948,0.003463915,0.0
internet,omp_half,1,16,951569.0,0.001348129,0.020379253,6.0,0.003863946,0.012109669,0.003433415,0.0
internet,omp_half,1,20,951569.0,0.001434096,0.020785358,6.0,0.003849768,0.01216911,0.003551209,0.0
internet,omp_half,2,12,951569.0,0.001572938,0.015531666,6.0,0.005380181,0.00688373,0.002560357,0.0
internet,omp_half,2,16,951569.0,0.001587313,0.016847293,6.0,0.005728248,0.00716325,0.002806797,0.0
internet,omp_half,2,20,951569.0,0.001375572,0.01484951,6.0,0.004565204,0.006974065,0.002664126,0.0
internet,omp_half,4,12,951569.0,0.00140213,0.009493944,6.0,0.002763257,0.004059527,0.001535587,0.0
internet,omp_half,4,16,951569.0,0.001419403,0.008899234,6.0,0.00235579,0.003819593,0.001617639,0.0
internet,omp_half,4,20,951569.0,0.001447771,0.009374699,6.0,0.002455733,0.004164932,0.001577731,0.0
internet,omp_half,8,12,951569.0,0.00138727,0.006884579,6.0,0.002052843,0.002498449,0.001128453,0.0
internet,omp_half,8,16,951569.0,0.001434395,0.006285037,6.0,0.001699344,0.002451576,0.001029845,0.0
internet,omp_half,8,20,951569.0,0.001525625,0.00673366,6.0,0.001760747,0.002695395,0.001167918,0.0
internet,omp_half,12,12,951569.0,0.001464157,0.007440193,6.0,0.0021163,0.002599149,0.001545518,0.0
internet,omp_half,12,16,951569.0,0.001445168,0.007139951,6.0,0.002206409,0.002457659,0.001543643,0.0
internet,omp_half,12,20,951569.0,0.001472143,0.007503472,6.0,0.002073478,0.00266221,0.001378161,0.0
internet,omp_half,16,12,951569.0,0.001496936,0.007430513,6.0,0.002032239,0.002618931,0.001626571,0.0
internet,omp_half,16,16,951569.0,0.001601864,0.007735323,6.0,0.002593367,0.002537739,0.00153696,0.0
internet,omp_half,16,20,951569.0,0.001540176,0.006828834,6.0,0.001966477,0.002527095,0.001390249,0.0
internet,omp_intermediate,1,12,951569.0,0.001426933,0.019148313,6.0,0.000740696,0.012367022,0.002898021,0.002178321
internet,omp_intermediate,1,16,951569.0,0.001527152,0.019435858,6.0,0.000712902,0.012509567,0.003173445,0.002095516
internet,omp_intermediate,1,20,951569.0,0.001407935,0.018602356,6.0,0.000699597,0.011962507,0.002930943,0.002035125
internet,omp_intermediate,2,12,951569.0,0.002001021,0.012546305,6.0,0.00072597,0.006795481,0.002493751,0.001296205
internet,omp_intermediate,2,16,951569.0,0.001390552,0.013584579,6.0,0.000935031,0.007151025,0.003121499,0.00133751
internet,omp_intermediate,2,20,951569.0,0.001449346,0.011716781,6.0,0.000741438,0.006600208,0.0019099,0.001250216
internet,omp_intermediate,4,12,951569.0,0.001423572,0.008336896,6.0,0.000752578,0.004016401,0.001620927,0.000788281
internet,omp_intermediate,4,16,951569.0,0.001467596,0.007921048,6.0,0.000741713,0.004003685,0.001304908,0.000787218
internet,omp_intermediate,4,20,951569.0,0.001449062,0.00772397,6.0,0.000746863,0.003913452,0.001238121,0.00083837
internet,omp_intermediate,8,12,951569.0,0.001610146,0.006383981,6.0,0.000891729,0.002782527,0.001088758,0.000575419
internet,omp_intermediate,8,16,951569.0,0.001478343,0.006355956,6.0,0.000820025,0.002594073,0.001119467,0.000639003
internet,omp_intermediate,8,20,951569.0,0.001465058,0.005968726,6.0,0.000724441,0.002532723,0.001056054,0.000609291
internet,omp_intermediate,12,12,951569.0,0.001489593,0.006472916,6.0,0.00103602,0.002572462,0.001336392,0.000795945
internet,omp_intermediate,12,16,951569.0,0.00138155,0.006312296,6.0,0.000943715,0.002429543,0.001227327,0.00068742
internet,omp_intermediate,12,20,951569.0,0.001448932,0.007043273,6.0,0.000920343,0.002458911,0.001325869,0.000724666
internet,omp_intermediate,16,12,951569.0,0.001483942,0.006716074,6.0,0.001036014,0.002435651,0.001298782,0.000737131
internet,omp_intermediate,16,16,951569.0,0.001457155,0.006411551,6.0,0.00100902,0.002480838,0.001275434,0.000752213
internet,omp_intermediate,16,20,951569.0,0.001473346,0.006589071,6.0,0.000926964,0.002398216,0.00121977,0.000743125
internet,serial_half,1,16,951569.0,0.001549181,0.013410488,0.0,0.0,0.0,0.0,0.0
