graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
r4-2e23.sym,omp_half,1,12,12284371526.0,0.199369144,8.953470958,10.0,0.563732732,7.796419375,0.542222591,0.0
r4-2e23.sym,omp_half,1,16,12284371526.0,0.200179674,8.934672375,10.0,0.556523986,7.777080423,0.539449822,0.0
r4-2e23.sym,omp_half,1,20,12284371526.0,0.199992342,9.099328341,10.0,0.574212732,7.905052337,0.546877735,0.0
r4-2e23.sym,omp_half,2,12,12284371526.0,0.1999285,5.300798072,10.0,0.576111183,4.331376185,0.339354947,0.0
r4-2e23.sym,omp_half,2,16,12284371526.0,0.201292817,5.14034293,10.0,0.398739628,4.35296912,0.335081392,0.0
r4-2e23.sym,omp_half,2,20,12284371526.0,0.201070088,5.161109464,10.0,0.366680713,4.397958239,0.324517279,0.0
r4-2e23.sym,omp_half,4,12,12284371526.0,0.207185152,3.414032813,10.0,0.471849489,2.639666983,0.218545832,0.0
r4-2e23.sym,omp_half,4,16,12284371526.0,0.209345341,3.314912516,10.0,0.356666652,2.68489255,0.211374957,0.0
r4-2e23.sym,omp_half,4,20,12284371526.0,0.212284995,3.344160737,10.0,0.357480294,2.700649158,0.21124116,0.0
r4-2e23.sym,omp_half,8,12,12284371526.0,0.217913746,2.851931564,10.0,0.273477227,2.330202852,0.177355474,0.0
r4-2e23.sym,omp_half,8,16,12284371526.0,0.217605755,2.823950043,10.0,0.229307345,2.350372832,0.173871724,0.0
r4-2e23.sym,omp_half,8,20,12284371526.0,0.216730549,2.807267809,10.0,0.218616043,2.343875663,0.175380294,0.0
r4-2e23.sym,omp_half,12,12,12284371526.0,0.21713506,3.056255324,10.0,0.3022041,2.460296768,0.234527421,0.0
r4-2e23.sym,omp_half,12,16,12284371526.0,0.218612322,3.036512404,10.0,0.282699894,2.447723874,0.233088002,0.0
r4-2e23.sym,omp_half,12,20,12284371526.0,0.22696308,3.012216762,10.0,0.259220727,2.454900638,0.221133376,0.0
r4-2e23.sym,omp_half,16,12,12284371526.0,0.220500551,3.087330134,10.0,0.315990908,2.449944591,0.248067696,0.0
r4-2e23.sym,omp_half,16,16,12284371526.0,0.22174041,3.063367401,10.0,0.296068881,2.449312535,0.24714849,0.0
r4-2e23.sym,omp_half,16,20,12284371526.0,0.220044268,3.022264331,10.0,0.270224344,2.43801838,0.23814398,0.0
r4-2e23.sym,omp_intermediate,1,12,12284371526.0,0.201131218,9.061247947,10.0,0.098794296,8.067450684,0.427130468,0.403207993
r4-2e23.sym,omp_intermediate,1,16,12284371526.0,0.199224149,8.786102597,10.0,0.098290065,7.809586613,0.4264913,0.386909725
r4-2e23.sym,omp_intermediate,1,20,12284371526.0,0.198077732,8.844973035,10.0,0.099050236,7.859834292,0.427342102,0.388278487
r4-2e23.sym,omp_intermediate,2,12,12284371526.0,0.20051834,5.078686199,10.0,0.124758807,4.398779976,0.279846498,0.21606636
r4-2e23.sym,omp_intermediate,2,16,12284371526.0,0.201349932,5.073326921,10.0,0.171789721,4.338399968,0.27463396,0.215119494
r4-2e23.sym,omp_intermediate,2,20,12284371526.0,0.201309929,5.086502453,10.0,0.13312428,4.410356411,0.269914791,0.218642261
r4-2e23.sym,omp_intermediate,4,12,12284371526.0,0.21337439,3.157588291,10.0,0.101374298,2.681522128,0.179028635,0.123272805
r4-2e23.sym,omp_intermediate,4,16,12284371526.0,0.215974537,3.16789559,10.0,0.099758803,2.695443402,0.174548464,0.126812902
r4-2e23.sym,omp_intermediate,4,20,12284371526.0,0.217864013,3.189229114,10.0,0.099247309,2.718475536,0.171102002,0.127403863
r4-2e23.sym,omp_intermediate,8,12,12284371526.0,0.216572512,2.750777755,10.0,0.096466447,2.336916723,0.150182027,0.093534137
r4-2e23.sym,omp_intermediate,8,16,12284371526.0,0.216524036,2.769023248,10.0,0.096046094,2.355543312,0.148466592,0.094165572
r4-2e23.sym,omp_intermediate,8,20,12284371526.0,0.213726481,2.770005541,10.0,0.095329552,2.362374161,0.14876133,0.094509651
r4-2e23.sym,omp_intermediate,12,12,12284371526.0,0.216441296,3.039700195,10.0,0.202815895,2.467600935,0.201615818,0.097851397
r4-2e23.sym,omp_intermediate,12,16,12284371526.0,0.224490618,3.098163648,10.0,0.197571974,2.499462454,0.209857819,0.101068332
r4-2e23.sym,omp_intermediate,12,20,12284371526.0,0.218085633,3.00675903,10.0,0.173435309,2.455836285,0.198104191,0.099244628
r4-2e23.sym,omp_intermediate,16,12,12284371526.0,0.217437576,3.072485242,10.0,0.220810712,2.45650792,0.222586213,0.100612221
r4-2e23.sym,omp_intermediate,16,16,12284371526.0,0.214287861,3.033925475,10.0,0.202294441,2.439235529,0.215533435,0.100162912
r4-2e23.sym,omp_intermediate,16,20,12284371526.0,0.222310717,3.014614835,10.0,0.18200953,2.452780792,0.209051254,0.099292949
r4-2e23.sym,serial_half,1,16,12284371526.0,0.202680585,6.741250442,0.0,0.0,0.0,0.0,0.0
