graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
rmat22.sym,omp_half,1,12,3007276592424.0,0.190664306,3.944834672,7.0,0.187677041,3.524768726,0.195342219,0.0
rmat22.sym,omp_half,1,16,3007276592424.0,0.189912078,3.952216082,7.0,0.183094554,3.536431848,0.193957149,0.0
rmat22.sym,omp_half,1,20,3007276592424.0,0.188293262,3.913940623,7.0,0.180363526,3.506909069,0.196389921,0.0
rmat22.sym,omp_half,2,12,3007276592424.0,0.191452872,2.18187784,7.0,0.137354478,1.865777422,0.130174598,0.0
rmat22.sym,omp_half,2,16,3007276592424.0,0.193039835,2.192051735,7.0,0.150343419,1.872157785,0.129630391,0.0
rmat22.sym,omp_half,2,20,3007276592424.0,0.192545228,2.167361651,7.0,0.136768444,1.874968203,0.126795047,0.0
rmat22.sym,omp_half,4,12,3007276592424.0,0.195721459,1.272844184,7.0,0.143677691,1.016623606,0.078203978,0.0
rmat22.sym,omp_half,4,16,3007276592424.0,0.201554275,1.260413379,7.0,0.101250413,1.047586565,0.075008641,0.0
rmat22.sym,omp_half,4,20,3007276592424.0,0.201619396,1.250112471,7.0,0.103381859,1.04795641,0.073863009,0.0
rmat22.sym,omp_half,8,12,3007276592424.0,0.201406854,1.042281389,7.0,0.091215585,0.851339697,0.063071827,0.0
rmat22.sym,omp_half,8,16,3007276592424.0,0.203092916,1.023641431,7.0,0.070196105,0.8564221,0.063112218,0.0
rmat22.sym,omp_half,8,20,3007276592424.0,0.203422337,1.027991409,7.0,0.069881914,0.860543704,0.061215825,0.0
rmat22.sym,omp_half,12,12,3007276592424.0,0.202572887,1.119357138,7.0,0.094857884,0.90735397,0.08332111,0.0
rmat22.sym,omp_half,12,16,3007276592424.0,0.203330108,1.1006115,7.0,0.085707215,0.89905829,0.079884919,0.0
rmat22.sym,omp_half,12,20,3007276592424.0,0.202227747,1.111510912,7.0,0.080931877,0.90960409,0.081268545,0.0
rmat22.sym,omp_half,16,12,3007276592424.0,0.203350786,1.119477316,7.0,0.097736723,0.894187196,0.088355001,0.0
rmat22.sym,omp_half,16,16,3007276592424.0,0.202486767,1.106458757,7.0,0.090860325,0.891330194,0.08547729,0.0
rmat22.sym,omp_half,16,20,3007276592424.0,0.206832688,1.114214881,7.0,0.083591325,0.909707238,0.083357855,0.0
rmat22.sym,omp_intermediate,1,12,3007276592424.0,0.191534428,3.975791302,7.0,0.036199473,3.625812465,0.147024011,0.130284895
rmat22.sym,omp_intermediate,1,16,3007276592424.0,0.190071318,3.959130807,7.0,0.03565837,3.608590535,0.150800843,0.132214581
rmat22.sym,omp_intermediate,1,20,3007276592424.0,0.189085418,3.939229777,7.0,0.03640574,3.587371892,0.149539326,0.131555929
rmat22.sym,omp_intermediate,2,12,3007276592424.0,0.192802638,2.170614265,7.0,0.056998684,1.904646684,0.105913401,0.069987712
rmat22.sym,omp_intermediate,2,16,3007276592424.0,0.193406085,2.177530921,7.0,0.065513934,1.901533833,0.104144338,0.072782448
rmat22.sym,omp_intermediate,2,20,3007276592424.0,0.193505155,2.172765601,7.0,0.052060392,1.913715428,0.100551578,0.07249171
rmat22.sym,omp_intermediate,4,12,3007276592424.0,0.199837863,1.216557939,7.0,0.037674936,1.040323813,0.063846455,0.040574576
rmat22.sym,omp_intermediate,4,16,3007276592424.0,0.201145382,1.244116341,7.0,0.038269669,1.070210419,0.061155942,0.041863786
rmat22.sym,omp_intermediate,4,20,3007276592424.0,0.201184974,1.24106992,7.0,0.037150491,1.066233873,0.059257979,0.042135894
rmat22.sym,omp_intermediate,8,12,3007276592424.0,0.20543176,1.036944732,7.0,0.035935506,0.875889732,0.052684497,0.029525332
rmat22.sym,omp_intermediate,8,16,3007276592424.0,0.204669354,1.025114746,7.0,0.037462228,0.867220861,0.053679203,0.02919777
rmat22.sym,omp_intermediate,8,20,3007276592424.0,0.205714596,1.022062749,7.0,0.035280827,0.870523456,0.052306446,0.029348192
rmat22.sym,omp_intermediate,12,12,3007276592424.0,0.20310913,1.11844474,7.0,0.066113861,0.912855872,0.072657284,0.030511702
rmat22.sym,omp_intermediate,12,16,3007276592424.0,0.203139505,1.112954885,7.0,0.062853776,0.911231765,0.070835922,0.031517327
rmat22.sym,omp_intermediate,12,20,3007276592424.0,0.197210412,1.107111053,7.0,0.058087636,0.911304094,0.072116978,0.030793384
rmat22.sym,omp_intermediate,16,12,3007276592424.0,0.204422169,1.130869422,7.0,0.07348831,0.908885046,0.078620344,0.031859168
rmat22.sym,omp_intermediate,16,16,3007276592424.0,0.2019348,1.118446727,7.0,0.068993742,0.902480574,0.074851512,0.032689494
rmat22.sym,omp_intermediate,16,20,3007276592424.0,0.206086303,1.110815403,7.0,0.061870371,0.902781241,0.07236972,0.032464131
rmat22.sym,serial_half,1,16,3007276592424.0,0.192063561,2.765942629,0.0,0.0,0.0,0.0,0.0
