graph,algorithm,threads,chunk_size_p0,weight,graph_load_time, total_time_s,iterations,phase0_s,phase1_s,phase2_s,phase3_s
soc-LiveJournal1,omp_half,1,12,66687963.0,0.13151512,3.533999816,7.0,0.200313481,3.121469997,0.173472353,0.0
soc-LiveJournal1,omp_half,1,16,66687963.0,0.130957665,3.454228143,7.0,0.194637248,3.054505737,0.168793345,0.0
soc-LiveJournal1,omp_half,1,20,66687963.0,0.131807797,3.43571778,7.0,0.19342186,3.035508323,0.169381735,0.0
soc-LiveJournal1,omp_half,2,12,66687963.0,0.129864025,2.801812433,7.0,0.214326092,2.446951545,0.128687986,0.0
soc-LiveJournal1,omp_half,2,16,66687963.0,0.131136636,2.786928377,7.0,0.201286813,2.426613464,0.125989229,0.0
soc-LiveJournal1,omp_half,2,20,66687963.0,0.130895524,2.720304377,7.0,0.148144168,2.413678647,0.118856967,0.0
soc-LiveJournal1,omp_half,4,12,66687963.0,0.131523208,1.989804215,7.0,0.153439353,1.699418426,0.076213565,0.0
soc-LiveJournal1,omp_half,4,16,66687963.0,0.131974706,1.936799211,7.0,0.105938753,1.721215035,0.067745096,0.0
soc-LiveJournal1,omp_half,4,20,66687963.0,0.132144645,1.953918382,7.0,0.107330723,1.736478638,0.066351511,0.0
soc-LiveJournal1,omp_half,8,12,66687963.0,0.132790596,1.390516359,7.0,0.085637191,1.212862466,0.057543672,0.0
soc-LiveJournal1,omp_half,8,16,66687963.0,0.131649408,1.407879258,7.0,0.073316798,1.237284516,0.055943952,0.0
soc-LiveJournal1,omp_half,8,20,66687963.0,0.132116292,1.410027118,7.0,0.074603342,1.243092536,0.056175755,0.0
soc-LiveJournal1,omp_half,12,12,66687963.0,0.133262705,1.261711704,7.0,0.106198766,1.039136648,0.081226396,0.0
soc-LiveJournal1,omp_half,12,16,66687963.0,0.13234557,1.260971326,7.0,0.101075777,1.043790589,0.078404929,0.0
soc-LiveJournal1,omp_half,12,20,66687963.0,0.131897694,1.253870143,7.0,0.092699172,1.044926492,0.074698274,0.0
soc-LiveJournal1,omp_half,16,12,66687963.0,0.132354581,1.225172534,7.0,0.111909055,0.990084145,0.085576563,0.0
soc-LiveJournal1,omp_half,16,16,66687963.0,0.133625813,1.311644881,7.0,0.114713079,1.065835324,0.086068513,0.0
soc-LiveJournal1,omp_half,16,20,66687963.0,0.154069307,1.507358145,7.0,0.12271498,1.21881341,0.104223225,0.0
soc-LiveJournal1,omp_intermediate,1,12,66687963.0,0.130399317,3.440725404,7.0,0.041541234,3.108303732,0.12213108,0.126833826
soc-LiveJournal1,omp_intermediate,1,16,66687963.0,0.131658062,3.47986097,7.0,0.041670115,3.140309849,0.130718708,0.131160936
soc-LiveJournal1,omp_intermediate,1,20,66687963.0,0.131525442,3.522030558,7.0,0.042496848,3.18255666,0.12956707,0.128902527
soc-LiveJournal1,omp_intermediate,2,12,66687963.0,0.130841884,2.750473442,7.0,0.059258761,2.467702692,0.109356203,0.070211944
soc-LiveJournal1,omp_intermediate,2,16,66687963.0,0.130144232,2.750074199,7.0,0.073523235,2.468484154,0.105048683,0.070381652
soc-LiveJournal1,omp_intermediate,2,20,66687963.0,0.131313,2.735556233,7.0,0.058008287,2.463417694,0.098481106,0.070638484
soc-LiveJournal1,omp_intermediate,4,12,66687963.0,0.132627702,1.923100254,7.0,0.042810906,1.742116641,0.061510684,0.037603182
soc-LiveJournal1,omp_intermediate,4,16,66687963.0,0.132043437,1.927254049,7.0,0.042819892,1.7530045,0.054077099,0.037431639
soc-LiveJournal1,omp_intermediate,4,20,66687963.0,0.132347501,1.925047602,7.0,0.041997646,1.753035783,0.055438665,0.037499138
soc-LiveJournal1,omp_intermediate,8,12,66687963.0,0.132594708,1.39630303,7.0,0.038713745,1.240321181,0.051294866,0.026854235
soc-LiveJournal1,omp_intermediate,8,16,66687963.0,0.131734142,1.409995358,7.0,0.03955017,1.256897517,0.047402902,0.026291741
soc-LiveJournal1,omp_intermediate,8,20,66687963.0,0.131211129,1.396853562,7.0,0.039360662,1.245952112,0.046698291,0.026889944
soc-LiveJournal1,omp_intermediate,12,12,66687963.0,0.131464393,1.268852293,7.0,0.077279663,1.055119742,0.069579067,0.028703441
soc-LiveJournal1,omp_intermediate,12,16,66687963.0,0.131163277,1.26451397,7.0,0.072459839,1.049963492,0.068716728,0.02951897
soc-LiveJournal1,omp_intermediate,12,20,66687963.0,0.132757905,1.251514364,7.0,0.065898993,1.052729312,0.064401194,0.0287326
soc-LiveJournal1,omp_intermediate,16,12,66687963.0,0.133304162,1.208787548,7.0,0.082756497,0.982500362,0.073474149,0.031001453
soc-LiveJournal1,omp_intermediate,16,16,66687963.0,0.143427184,1.362007183,7.0,0.086368052,1.121469725,0.080979226,0.035977631
soc-LiveJournal1,omp_intermediate,16,20,66687963.0,0.150524047,1.520721828,7.0,0.087111414,1.270550448,0.090459266,0.035885005
soc-LiveJournal1,serial_half,1,16,66687963.0,0.132941113,2.628515741,0.0,0.0,0.0,0.0,0.0
