run_no,weight,serial_full,serial_half,serial_split,omp_half
1,12284371526,7039205,7028177,8114531,2075402
2,12284371526,6990959,7050383,8081421,2075385
3,12284371526,7012491,7084200,7666334,2097092
4,12284371526,6932137,7144679,7544683,2087474
5,12284371526,7015395,7088537,7544514,2249869
6,12284371526,7025703,7158224,7429786,2522353
7,12284371526,7033658,7407543,7412305,2142087
8,12284371526,7030014,7426480,7408005,2132594
9,12284371526,7067297,7401759,7402012,2138240
10,12284371526,7006786,7678376,7412213,2152371
