run_no,weight,serial_full,serial_half,serial_split,omp_half
1,3007276592424,6687914,5155603,6267411,1430159
2,3007276592424,6366936,6310258,6217275,1304788
3,3007276592424,6349751,6531149,6114519,1363525
4,3007276592424,6589351,6139829,6111152,1315514
5,3007276592424,6770749,6193953,6306350,1388812
6,3007276592424,7449907,6032443,5969572,1405711
7,3007276592424,6442690,5502340,6172399,1373190
8,3007276592424,6103779,6174744,5899001,1329213
9,3007276592424,5650209,6102110,6120896,1332105
10,3007276592424,5712473,6208203,6174756,1357567
